year,R1,R2
1950,32.875,16.22222222222222
1951,18.125,8.88888888888889
1952,34.0,35.77777777777778
1953,12.375,7.2222222222222205
1954,35.25,26.888888888888893
1955,41.875,34.888888888888886
1956,34.875,15.22222222222222
1957,13.625,15.333333333333334
1958,13.625,20.77777777777777
1959,35.75,25.666666666666664
1960,29.75,20.55555555555556
1961,12.75,9.777777777777777
1962,27.0,25.444444444444446
1963,17.5,36.55555555555555
1964,19.25,37.66666666666667
1965,10.375,8.444444444444445
1966,22.5,32.1111111111111
1967,22.875,30.333333333333336
1968,19.75,26.77777777777778
1969,13.75,16.888888888888886
1970,8.75,26.88888888888889
1971,5.875,13.333333333333332
1972,18.75,26.222222222222225
1973,17.375,53.88888888888889
1974,27.625,38.11111111111111
1975,25.25,22.000000000000004
1976,17.125,31.333333333333336
1977,17.875,22.66666666666666
1978,22.0,25.55555555555556
1979,17.625,8.666666666666666
1980,13.375,18.77777777777778
1981,25.25,48.55555555555556
1982,52.875,26.666666666666668
1983,28.75,32.44444444444444
1984,37.125,31.444444444444446
1985,24.75,15.888888888888888
1986,11.5,29.333333333333325
1987,22.125,16.22222222222222
1988,43.375,38.33333333333333
1989,37.5,4.444444444444445
1990,23.625,18.0
1991,13.375,12.88888888888889
1992,17.125,28.22222222222222
1993,10.375,28.0
1994,26.625,21.666666666666664
1995,16.125,8.888888888888888
1996,11.5,3.333333333333333
1997,54.875,18.33333333333333
1998,43.125,55.66666666666666
1999,24.75,16.22222222222222
2000,25.75,25.0
2001,21.125,18.22222222222222
2002,18.875,25.555555555555557
2003,39.875,5.111111111111112
2004,21.0,35.44444444444444
2005,13.25,30.222222222222225
2006,14.0,21.66666666666666
2007,16.25,31.22222222222222
2008,37.25,23.666666666666668
2009,42.125,20.333333333333336
2010,32.5,25.000000000000004
2011,36.125,14.666666666666668
2012,16.875,8.222222222222221
2013,14.5,37.33333333333333
2014,20.0,11.666666666666666
2015,34.0,17.111111111111114
2016,56.75,29.777777777777786
2017,4.375,17.444444444444443
2018,11.125,8.666666666666668
2019,15.75,3.0
2020,47.5,19.555555555555557
2021,15.75,24.22222222222222
2022,7.0,15.666666666666668
2023,41.375,39.44444444444444
2024,13.5,16.666666666666668
2025,18.25,10.0
2026,29.125,16.22222222222222
2027,41.875,27.88888888888889
2028,21.5,35.0
2029,15.375,19.77777777777777
2030,15.0,22.111111111111107
2031,4.875,24.22222222222222
2032,0.625,19.77777777777778
2033,33.75,12.77777777777778
2034,12.125,30.000000000000004
2035,13.0,14.333333333333332
2036,18.875,24.88888888888889
2037,26.375,26.33333333333333
2038,5.75,55.44444444444444
2039,24.0,48.333333333333336
2040,8.875,5.222222222222222
2041,17.75,39.11111111111111
2042,16.25,36.0
2043,27.75,46.55555555555556
2044,11.75,39.44444444444445
2045,12.0,28.111111111111114
2046,4.75,11.22222222222222
2047,20.375,11.444444444444445
2048,15.375,32.666666666666664
2049,28.875,9.444444444444445
2050,8.75,14.333333333333332
