year,R1,R2
1950,36.25,18.333333333333336
1951,37.625,22.0
1952,50.25,15.444444444444445
1953,71.625,26.33333333333333
1954,12.375,33.44444444444444
1955,13.125,19.333333333333336
1956,20.875,19.555555555555557
1957,32.75,0.5555555555555556
1958,26.0,19.77777777777778
1959,79.0,10.777777777777777
1960,20.25,16.444444444444443
1961,17.625,1.6666666666666663
1962,28.375,21.55555555555556
1963,5.125,26.111111111111114
1964,0.0,53.77777777777777
1965,16.625,24.11111111111111
1966,9.125,26.333333333333336
1967,24.875,5.555555555555555
1968,23.25,18.444444444444443
1969,36.625,3.0
1970,22.75,16.333333333333332
1971,22.625,6.888888888888888
1972,14.0,5.222222222222222
1973,9.25,15.333333333333332
1974,41.125,14.444444444444445
1975,23.875,33.55555555555555
1976,13.875,26.666666666666664
1977,11.0,15.444444444444445
1978,11.75,17.22222222222222
1979,31.625,20.88888888888889
1980,5.375,32.88888888888889
1981,10.75,10.333333333333332
1982,24.625,13.22222222222222
1983,29.25,31.333333333333336
1984,23.625,36.11111111111111
1985,23.875,30.444444444444443
1986,41.125,14.555555555555555
1987,10.625,12.111111111111114
1988,66.5,20.666666666666664
1989,15.375,19.333333333333336
1990,16.875,11.333333333333332
1991,42.375,0.0
1992,1.25,10.777777777777777
1993,25.25,16.22222222222222
1994,27.25,14.333333333333334
1995,3.375,20.66666666666666
1996,39.5,15.22222222222222
1997,32.875,7.777777777777777
1998,30.0,16.555555555555554
1999,43.375,6.111111111111111
2000,21.5,42.22222222222222
2001,7.5,31.33333333333333
2002,8.375,12.11111111111111
2003,41.625,9.0
2004,29.625,9.666666666666664
2005,25.0,29.11111111111111
2006,25.625,23.44444444444444
2007,11.125,16.11111111111111
2008,29.5,13.33333333333333
2009,28.125,16.11111111111111
2010,43.875,14.666666666666668
2011,2.875,28.111111111111114
2012,30.125,24.22222222222223
2013,7.625,17.333333333333336
2014,30.25,19.888888888888893
2015,37.875,23.55555555555556
2016,37.875,21.0
2017,10.25,12.88888888888889
2018,33.625,21.222222222222225
2019,16.25,4.777777777777779
2020,17.125,9.11111111111111
2021,24.375,14.22222222222222
2022,33.0,3.0
2023,19.125,51.99999999999999
2024,40.625,17.666666666666668
2025,25.0,11.333333333333332
2026,45.0,18.444444444444443
2027,27.5,13.444444444444445
2028,19.875,2.2222222222222223
2029,26.375,3.444444444444444
2030,21.375,21.666666666666664
2031,40.5,15.777777777777777
2032,14.875,22.88888888888889
2033,54.75,22.333333333333336
2034,15.5,29.11111111111111
2035,9.125,25.666666666666664
2036,40.625,12.44444444444444
2037,35.75,12.999999999999998
2038,12.75,33.666666666666664
2039,8.375,16.88888888888889
2040,31.625,32.33333333333333
2041,23.625,29.33333333333333
2042,22.125,16.666666666666664
2043,32.0,19.22222222222222
2044,26.5,19.444444444444446
2045,8.125,38.22222222222222
2046,15.375,58.66666666666666
2047,22.25,33.11111111111111
2048,25.75,35.55555555555556
2049,11.625,50.11111111111112
2050,19.5,9.333333333333336
