year,gmst
1951,13.90797659723109
1952,13.919736488235497
1953,13.877214536121944
1954,13.867737933198647
1955,13.856784556225806
1956,13.833702909651944
1957,13.858948450267825
1958,13.916865317404357
1959,13.970866018669687
1960,13.947208618449372
1961,13.945683030552347
1962,13.856870254541912
1963,13.763979410401946
1964,13.789777891046988
1965,13.776530423057675
1966,13.761699814581313
1967,13.824668806251877
1968,13.84329707943161
1969,13.848591745828005
1970,13.874320581770585
1971,13.853405668152806
1972,13.825548467898816
1973,13.8856494460077
1974,13.941053563966138
1975,13.9555981376679
1976,13.943651464519755
1977,13.95044747058413
1978,13.994971930687043
1979,13.990127311150314
1980,14.026370016870244
1981,14.012916546994015
1982,14.010097287674585
1983,14.059991224646506
1984,14.112888246059258
1985,14.14824453063127
1986,14.156599652057947
1987,14.239376669660908
1988,14.279717657464396
1989,14.29664272172766
1990,14.317760794096822
1991,14.19827227837666
1992,14.176219592847492
1993,14.19705249987815
1994,14.229882452668267
1995,14.341128048839533
1996,14.442754917204796
1997,14.479104428858626
1998,14.519820677521151
1999,14.620487359032811
2000,14.618428156881698
2001,14.66583296585702
2002,14.741026841994405
2003,14.768908291714949
2004,14.792873081773486
2005,14.83839383084864
2006,14.781551730059435
2007,14.735629405367884
2008,14.7903009474416
2009,14.797044821944928
2010,14.819449372383197
2011,14.855485982026917
2012,14.876437654809443
2013,14.912630904467456
2014,15.038735407549575
2015,15.105987473698349
2016,15.11735881569189
2017,15.190278225351326
2018,15.19780101561192
2019,15.212379834071823
2020,15.3119447441473
2021,15.316394048763716
2022,15.334766640437604
2023,15.443897157740103
2024,15.50832579880435
2025,15.62221167557612
2026,15.76625067401077
2027,15.790826727836722
2028,15.787524526693854
2029,15.795390411678282
2030,15.783761389300524
2031,15.803980276546875
2032,15.894206143893156
2033,15.915979312657509
2034,15.918192415250813
2035,16.02722655110002
2036,16.10767761693997
2037,16.17590225006469
2038,16.204218411175226
2039,16.193080657255155
2040,16.181414091562715
2041,16.190996862052828
2042,16.230422741701943
2043,16.243505902533244
2044,16.24220741895555
2045,16.31435952487676
2046,16.380269004626637
2047,16.475292094836043
2048,16.527261178774342
2049,16.566048503898074
2050,16.69203449276209
2051,16.75662431129528
2052,16.831100218895095
2053,16.90545282556338
2054,16.93313430225629
2055,16.98694888088445
2056,17.040228957252097
2057,17.10854838639724
2058,17.162607895293686
2059,17.23033134862271
2060,17.277281773667962
2061,17.307392699830192
2062,17.347706703918444
2063,17.40405649312336
2064,17.47700229403592
2065,17.5439644741528
2066,17.632301154538247
2067,17.67744210641598
2068,17.746681133806653
2069,17.842342140455102
2070,17.873692020017806
2071,17.911544279980312
2072,17.99911314995741
2073,18.017445031638708
2074,18.051877308135087
2075,18.097196417230872
2076,18.075145322594352
2077,18.105266075330007
2078,18.12511549153321
2079,18.150626878386426
2080,18.270833208335954
2081,18.39738011218244
2082,18.530685830866943
2083,18.62444170232271
2084,18.706878328676872
2085,18.75351082389344
2086,18.822993579971516
2087,18.917623067536965
2088,18.963794174369205
2089,18.97356827864265
2090,19.009971892707267
2091,19.033073227602213
2092,19.03229912547451
2093,19.079251969572876
2094,19.10470075483102
2095,19.167834939491502
2096,19.26379050879489
2097,19.363740893780616
2098,19.45375774920158
2099,19.49815615064045
2100,19.51571516446792
