year,gmst
1951,13.94318666145532
1952,13.927290835399882
1953,13.891118701148914
1954,13.870755243380536
1955,13.8271752540922
1956,13.795379196681507
1957,13.811554981663363
1958,13.859514274277664
1959,13.856891248751262
1960,13.845637426631942
1961,13.879277207158088
1962,13.849543886011933
1963,13.786939615210745
1964,13.77970641568709
1965,13.643555198298692
1966,13.606861334393107
1967,13.699104918516236
1968,13.668692663571402
1969,13.700145403474531
1970,13.698438064703131
1971,13.66328913564139
1972,13.7989565433833
1973,13.864676778326302
1974,13.856854623173874
1975,13.891546242624162
1976,13.870110179307195
1977,13.894039623651391
1978,13.947614589303038
1979,14.004980928868344
1980,14.082555437096934
1981,14.10757122921456
1982,14.114892380163113
1983,14.125291239914732
1984,14.078978389590263
1985,14.133795217276193
1986,14.198975149630252
1987,14.248364237072296
1988,14.358107335927606
1989,14.389555250631997
1990,14.40813186015552
1991,14.304993507837038
1992,14.24670814397532
1993,14.206240946642149
1994,14.219111892910885
1995,14.344567791733434
1996,14.333372868784537
1997,14.37442715381106
1998,14.431658799866746
1999,14.465901426319654
2000,14.56484606809315
2001,14.669370333565393
2002,14.71813147309725
2003,14.72497761064323
2004,14.724961395134056
2005,14.784452305248887
2006,14.831079042669634
2007,14.885311236095152
2008,14.938704568361832
2009,14.934906153848138
2010,15.021562679328955
2011,15.115254609322898
2012,15.182158181111877
2013,15.231002182353755
2014,15.20008766621535
2015,15.188494582031042
2016,15.17566365122215
2017,15.18915726971722
2018,15.196304072424676
2019,15.196544662549009
2020,15.254647760629028
2021,15.261303146460593
2022,15.31835165922371
2023,15.380348807711934
2024,15.400932453381508
2025,15.48268471877874
2026,15.569440890643577
2027,15.63283127869981
2028,15.704064755703474
2029,15.752833972624243
2030,15.72983652861234
2031,15.718608346967812
2032,15.749726276447946
2033,15.811430129353989
2034,15.841426213989948
2035,15.898582716513094
2036,15.926531919917938
2037,15.915868171592752
2038,15.985406012693126
2039,16.030830507670963
2040,16.10218848298975
2041,16.18817080653048
2042,16.23890542222924
2043,16.305858666958017
2044,16.338440509464604
2045,16.388640117500774
2046,16.45427266888447
2047,16.51898499779906
2048,16.61008309076268
2049,16.65353580178852
2050,16.74371630111062
2051,16.817900965045983
2052,16.85549341313419
2053,16.913268422779606
2054,16.939537923978246
2055,16.950579613743127
2056,16.96232429604381
2057,17.006385478068932
2058,17.03640667021986
2059,17.11680170957623
2060,17.243369270078833
2061,17.326314732800206
2062,17.41398331920987
2063,17.440314743383823
2064,17.458483797857795
2065,17.521230630088272
2066,17.57894195987011
2067,17.63245557749578
2068,17.6947907523966
2069,17.765959448751495
2070,17.794079240077973
2071,17.873600311354203
2072,17.93890434634344
2073,17.931939371724983
2074,18.003543885523115
2075,18.07271541062424
2076,18.112302684238777
2077,18.22216434358364
2078,18.31006623823562
2079,18.341610211944225
2080,18.38475071439675
2081,18.446588902424555
2082,18.506485635338656
2083,18.56239751450731
2084,18.631161637648788
2085,18.694226295526768
2086,18.707743467700386
2087,18.81068591489885
2088,18.90865894265652
2089,18.942183809163552
2090,19.01722663898846
2091,19.04161466742628
2092,19.040261975980872
2093,19.057585475430187
2094,19.09523342766361
2095,19.132241596077744
2096,19.19236493533012
2097,19.27211275469481
2098,19.339467841571608
2099,19.44652537569953
2100,19.508261149398496
