year,gmst
1951,14.00087478367419
1952,13.994053228785589
1953,13.960204660727024
1954,13.887654915622988
1955,13.913401387034918
1956,13.897869513798684
1957,13.968474463488835
1958,14.045528228769635
1959,13.9596048496097
1960,13.934608664851526
1961,13.845926267957388
1962,13.697524082190634
1963,13.628162253651617
1964,13.58409328415148
1965,13.624302751983697
1966,13.68902404869388
1967,13.77045301466184
1968,13.79086936778726
1969,13.757903188661636
1970,13.746914144430448
1971,13.715161949523528
1972,13.724084732319373
1973,13.749103825436691
1974,13.756524706745536
1975,13.76029105759934
1976,13.74757214588888
1977,13.790801340856556
1978,13.911809779548816
1979,14.009921987185056
1980,14.13386306813292
1981,14.149576553954695
1982,14.131806029177811
1983,14.181729368092974
1984,14.14313066528264
1985,14.16233192327554
1986,14.196857191085238
1987,14.176996815827254
1988,14.25134201069878
1989,14.31456019178629
1990,14.285524181092242
1991,14.217485942081918
1992,14.160496780321823
1993,14.135758300921283
1994,14.189026316460591
1995,14.348729684288047
1996,14.410911984061569
1997,14.458748829062104
1998,14.506186602246697
1999,14.496141227926335
2000,14.57061151702227
2001,14.58629806723791
2002,14.638982178758967
2003,14.732522488626934
2004,14.809753125983269
2005,14.88533228608262
2006,14.911195637931472
2007,14.959273682731224
2008,14.990444816859114
2009,15.026321758091244
2010,15.035964220510404
2011,14.970724389064138
2012,14.960444474689226
2013,15.042294796379412
2014,15.119467452299272
2015,15.201595690212317
2016,15.236632212717131
2017,15.227220049260897
2018,15.26344411861832
2019,15.33324036411551
2020,15.335852297243086
2021,15.35870971531562
2022,15.389190098000975
2023,15.413823831347884
2024,15.523550317966873
2025,15.623464887383246
2026,15.627827061096657
2027,15.598739234007908
2028,15.624490815798678
2029,15.5913732711955
2030,15.647380915888876
2031,15.71149417008172
2032,15.788573863136088
2033,15.921913884252024
2034,15.96511494545292
2035,16.058690510340636
2036,16.109003545139903
2037,16.175652776814342
2038,16.26055742069886
2039,16.28702041169968
2040,16.261296301598353
2041,16.217765656969046
2042,16.22974466294137
2043,16.25714284402141
2044,16.312435190360688
2045,16.379615829242045
2046,16.432111869073125
2047,16.56614175995546
2048,16.666822559576453
2049,16.742307376387828
2050,16.819905277683535
2051,16.848318477136267
2052,16.88613074244958
2053,16.873850043115777
2054,16.880593024337013
2055,16.914250777208363
2056,16.96647289473439
2057,17.051940594547396
2058,17.164540876551204
2059,17.238153885400017
2060,17.23597160835123
2061,17.27223562507766
2062,17.31263178877985
2063,17.353707097459015
2064,17.429503547260808
2065,17.487941079060906
2066,17.53158552586316
2067,17.554568699573398
2068,17.6185602700903
2069,17.684172233198137
2070,17.728640679039952
2071,17.805819828662717
2072,17.912000000703536
2073,17.997854099857225
2074,18.01928710522031
2075,18.048527401894454
2076,18.07266913758455
2077,18.12145744122414
2078,18.23758527128965
2079,18.314094308939023
2080,18.349340542857583
2081,18.401560624980124
2082,18.43225788467392
2083,18.51132359025943
2084,18.6026837531926
2085,18.668472061263373
2086,18.753563125810494
2087,18.836605074107897
2088,18.9501804669072
2089,19.055962995783855
2090,19.111469250064623
2091,19.099693417126023
2092,19.04254741861359
2093,19.05897863062225
2094,19.115811939769983
2095,19.184775682629624
2096,19.264283068647742
2097,19.31448170598267
2098,19.339134995540388
2099,19.40237364684032
2100,19.450942604153056
