year,R1,R2
1950,33.375,12.444444444444445
1951,49.5,12.88888888888889
1952,33.625,1.1111111111111112
1953,35.5,35.77777777777778
1954,20.875,27.111111111111107
1955,11.375,27.333333333333336
1956,13.625,31.111111111111104
1957,24.0,27.444444444444443
1958,22.0,18.666666666666668
1959,42.0,37.11111111111112
1960,11.75,15.222222222222223
1961,49.875,41.66666666666666
1962,6.375,27.444444444444443
1963,25.0,27.111111111111114
1964,32.75,13.88888888888889
1965,30.75,27.88888888888889
1966,49.75,12.444444444444445
1967,18.75,11.888888888888888
1968,37.0,27.88888888888889
1969,17.0,12.222222222222223
1970,18.75,3.4444444444444446
1971,11.5,11.77777777777778
1972,22.25,0.0
1973,23.5,28.111111111111114
1974,14.625,42.0
1975,14.375,21.222222222222225
1976,52.375,23.88888888888889
1977,40.25,12.33333333333333
1978,13.375,21.33333333333333
1979,33.125,37.00000000000001
1980,13.5,9.888888888888888
1981,4.75,20.000000000000004
1982,14.875,32.0
1983,31.375,6.555555555555555
1984,40.625,22.888888888888893
1985,32.5,11.0
1986,19.25,24.555555555555557
1987,59.75,20.77777777777778
1988,10.125,23.88888888888889
1989,14.25,28.666666666666668
1990,17.875,15.22222222222222
1991,40.75,11.444444444444446
1992,17.75,5.666666666666666
1993,18.875,10.666666666666666
1994,7.5,4.888888888888889
1995,29.25,3.7777777777777777
1996,9.875,13.444444444444445
1997,23.75,21.55555555555556
1998,25.5,21.77777777777778
1999,34.5,26.444444444444443
2000,29.875,7.444444444444444
2001,18.125,26.444444444444446
2002,11.875,18.88888888888889
2003,23.625,25.22222222222222
2004,20.625,18.000000000000004
2005,30.875,19.0
2006,14.75,6.444444444444444
2007,28.375,13.11111111111111
2008,22.125,25.33333333333333
2009,8.125,36.88888888888889
2010,5.25,36.11111111111111
2011,38.75,20.44444444444444
2012,37.5,0.5555555555555556
2013,30.625,28.33333333333333
2014,22.25,9.111111111111107
2015,57.25,10.11111111111111
2016,15.875,18.77777777777778
2017,10.875,43.77777777777777
2018,17.25,31.77777777777778
2019,24.625,23.444444444444446
2020,19.375,28.77777777777778
2021,19.625,3.2222222222222228
2022,13.0,19.0
2023,24.125,13.88888888888889
2024,21.375,30.88888888888889
2025,16.875,31.0
2026,28.875,15.0
2027,6.5,15.222222222222223
2028,12.875,47.0
2029,31.125,13.555555555555554
2030,19.25,3.777777777777778
2031,5.25,30.22222222222222
2032,14.125,9.88888888888889
2033,24.375,14.555555555555555
2034,6.875,42.22222222222222
2035,37.0,24.11111111111111
2036,7.75,33.66666666666667
2037,10.375,40.11111111111112
2038,6.25,17.88888888888889
2039,13.25,34.77777777777778
2040,40.75,22.55555555555556
2041,64.75,19.222222222222225
2042,10.875,32.0
2043,20.625,25.11111111111111
2044,36.75,16.333333333333332
2045,70.875,38.66666666666666
2046,17.25,23.66666666666667
2047,20.25,25.22222222222222
2048,19.0,18.88888888888889
2049,38.875,23.111111111111114
2050,37.5,21.66666666666667
