year,gmst
1951,14.16135279255427
1952,14.08675170842481
1953,14.031498192662442
1954,13.945387542946428
1955,13.980026372005634
1956,14.029837328031284
1957,14.033720846464943
1958,14.057601081429905
1959,13.978869991445135
1960,13.96789930689991
1961,13.98843831153611
1962,13.931101337046425
1963,13.885962642882594
1964,13.858666605645196
1965,13.761349157768382
1966,13.740588859734483
1967,13.8148887240371
1968,13.810009283560031
1969,13.852703899601824
1970,13.843433116953229
1971,13.774575312602282
1972,13.795866751922796
1973,13.830182259648288
1974,13.87498688374439
1975,13.899670317873012
1976,13.843056826687684
1977,13.899047693138469
1978,13.98508464816262
1979,14.031263808137815
1980,14.078645704481456
1981,14.00435178266912
1982,13.876432649489216
1983,13.837787070127968
1984,13.86232198770782
1985,13.94138074795732
1986,14.007537796164168
1987,14.072876853212156
1988,14.140053885357608
1989,14.175862151338992
1990,14.262345909686353
1991,14.255044835536784
1992,14.212291533559975
1993,14.191544860199558
1994,14.193679047408745
1995,14.267052409549189
1996,14.323211924827977
1997,14.39025497889712
1998,14.411662223175515
1999,14.45496958716082
2000,14.53561057577958
2001,14.586657443956152
2002,14.728644398118725
2003,14.854043090034995
2004,14.91514701822082
2005,14.888368317215685
2006,14.806041310003913
2007,14.76149956141028
2008,14.810083243739124
2009,14.919545011311795
2010,14.974742464842942
2011,15.040249226851438
2012,15.047189197515936
2013,15.045085176488966
2014,15.082708859669914
2015,15.082248583356968
2016,15.104613947162674
2017,15.209998106010332
2018,15.281689493896366
2019,15.344218585731644
2020,15.411242073123644
2021,15.473455983997646
2022,15.510088622136385
2023,15.510971128127736
2024,15.533400362231918
2025,15.55848788660414
2026,15.615235586440198
2027,15.69010882711694
2028,15.708545790248891
2029,15.68311267315858
2030,15.715550321925267
2031,15.77726723304418
2032,15.851929506771702
2033,15.963679519467476
2034,16.039038411689784
2035,16.072987488422765
2036,16.08211254649377
2037,16.101085211835013
2038,16.138758712052592
2039,16.162836578884786
2040,16.211697982242057
2041,16.279555120578635
2042,16.360663606111956
2043,16.394745960725643
2044,16.434005682890373
2045,16.456463134367876
2046,16.472032458414404
2047,16.539566954959316
2048,16.621612455762428
2049,16.734797155545223
2050,16.820582262225205
2051,16.878417792055142
2052,16.934992939862543
2053,16.94660960047246
2054,16.96757330605449
2055,17.055434722681326
2056,17.106935149935957
2057,17.103756974545444
2058,17.170610486290272
2059,17.16636483121441
2060,17.171283634435824
2061,17.29082497005317
2062,17.353831845254074
2063,17.442427914966842
2064,17.544934822921803
2065,17.560108947742457
2066,17.583465138297658
2067,17.63316030413842
2068,17.679255312226797
2069,17.764618474342782
2070,17.80461059705359
2071,17.84996686215915
2072,17.93528455092341
2073,17.963275160764994
2074,18.0340334676723
2075,18.178267771226988
2076,18.253972171785648
2077,18.306765169431245
2078,18.35001682258489
2079,18.354961196628565
2080,18.36493540322028
2081,18.414516314308464
2082,18.51340295411569
2083,18.567139169574094
2084,18.62445198060577
2085,18.68682349587717
2086,18.754067947879445
2087,18.81306089405769
2088,18.842947409813032
2089,18.88610378582944
2090,18.90779981823007
2091,18.92972701061127
2092,19.01749586225827
2093,19.1101118825684
2094,19.15943110366336
2095,19.22730197038037
2096,19.26567481945023
2097,19.27354114705908
2098,19.31115366500011
2099,19.31871824574953
2100,19.33563618182355
