year,gmst
1951,13.887453575504992
1952,13.96587777808584
1953,14.036980067867816
1954,14.08760435754744
1955,14.068436851063067
1956,13.987597770487312
1957,13.937777201293612
1958,13.906505313688236
1959,13.963268684174384
1960,13.971996486289584
1961,13.96420413207595
1962,13.952907238476966
1963,13.875962126608616
1964,13.8463359930158
1965,13.776654104268966
1966,13.740614626471071
1967,13.73262837212888
1968,13.683400152500433
1969,13.691088107077771
1970,13.684238449624214
1971,13.729210271515871
1972,13.772410806943167
1973,13.806499638044032
1974,13.803230077331524
1975,13.761873640107297
1976,13.77981781058693
1977,13.824577998968762
1978,13.926472311710334
1979,14.012177777372465
1980,14.109871800291293
1981,14.159797059663648
1982,14.135231161177698
1983,14.136630912227098
1984,14.114229783478898
1985,14.13078574447095
1986,14.16152474221574
1987,14.208069796076284
1988,14.267443872847458
1989,14.367373693615768
1990,14.4389208420875
1991,14.346457222835255
1992,14.277920036596628
1993,14.192777220145626
1994,14.1492767444618
1995,14.24197839157654
1996,14.398841038486056
1997,14.47148878623467
1998,14.556669540679795
1999,14.667448534672989
2000,14.617139344507583
2001,14.585461851942584
2002,14.590708637355734
2003,14.616320136753922
2004,14.693550349842042
2005,14.772268762848611
2006,14.874127208678464
2007,14.913630952681364
2008,14.926403875489433
2009,15.012831906385882
2010,15.063580998444513
2011,15.054866859895569
2012,15.102163576385792
2013,15.132797332478528
2014,15.103560516930887
2015,15.189928920971871
2016,15.230290624431047
2017,15.27724414796809
2018,15.29280421044565
2019,15.288866532958911
2020,15.321391504197203
2021,15.29001038633238
2022,15.377548737410551
2023,15.452280398643108
2024,15.532940107736064
2025,15.709275070488896
2026,15.79368330936975
2027,15.781719708892014
2028,15.78189374683161
2029,15.73236835173341
2030,15.742393747475624
2031,15.79499346647353
2032,15.891370466620865
2033,15.945811120941013
2034,15.958477377546023
2035,16.059222371721212
2036,16.078685250996276
2037,16.142415255831736
2038,16.18740695890675
2039,16.210984024386025
2040,16.26899547486222
2041,16.246161826226533
2042,16.28894825240312
2043,16.33494863264021
2044,16.35113158800318
2045,16.45636490480455
2046,16.547227467518688
2047,16.621546389025468
2048,16.682960878848842
2049,16.703772380938673
2050,16.73891298014284
2051,16.756228450366326
2052,16.843896786675604
2053,16.919092227903903
2054,16.971496656403847
2055,17.017988160927338
2056,17.02787535962791
2057,17.037489254625807
2058,17.066694213414433
2059,17.16600427159126
2060,17.272784008664555
2061,17.3789585349601
2062,17.44699623407629
2063,17.44254585486772
2064,17.46703381501834
2065,17.537988417249096
2066,17.56895659988132
2067,17.635509112524943
2068,17.720904757026943
2069,17.784892632192374
2070,17.87619232013698
2071,17.954699499895828
2072,17.953947810676116
2073,17.947716745656123
2074,17.98252518132206
2075,18.019445971406025
2076,18.05203361441317
2077,18.134392032229155
2078,18.214863624265664
2079,18.227278397533453
2080,18.30696209901358
2081,18.36267183463741
2082,18.436176072417524
2083,18.50915198039184
2084,18.55889095074356
2085,18.62461863024221
2086,18.684486239700323
2087,18.801060375347536
2088,18.831473366359365
2089,18.80789454489401
2090,18.82551946844163
2091,18.887084015691663
2092,18.968496820171023
2093,19.05779243762437
2094,19.09467280227042
2095,19.123705925649443
2096,19.20155642184528
2097,19.304281333169182
2098,19.4003500402167
2099,19.446277055093283
2100,19.474005732960453
