year,gmst
1951,14.125476188782718
1952,14.05932593268392
1953,14.017546688746496
1954,13.94098102381968
1955,13.967054006710852
1956,14.0356880691109
1957,14.049696276198704
1958,14.03740566888466
1959,14.018433997392036
1960,14.017384354978036
1961,14.01396970408856
1962,13.970443763996355
1963,13.88039124559618
1964,13.81986282521936
1965,13.767097314156995
1966,13.74404094295502
1967,13.71542693412936
1968,13.632930481931831
1969,13.587281065723795
1970,13.609564420741307
1971,13.70494642782335
1972,13.796832170622798
1973,13.950060518701893
1974,13.955897768924068
1975,13.924699442503806
1976,13.922516873117852
1977,13.893094915191783
1978,14.021949959233908
1979,14.110535636111166
1980,14.132991395247164
1981,14.174095688794376
1982,14.173358828987194
1983,14.140205712701352
1984,14.109810897729178
1985,14.05334164603293
1986,14.008204944793242
1987,14.030583590498312
1988,14.085258735476586
1989,14.12294617548433
1990,14.147420547309116
1991,14.098135354384704
1992,14.068949066709695
1993,14.032568465909488
1994,14.059146536891694
1995,14.198034571684794
1996,14.298559374597628
1997,14.392421927588035
1998,14.45015869320402
1999,14.50935471126386
2000,14.568111225892498
2001,14.648764710548106
2002,14.708528709287997
2003,14.734145624963917
2004,14.768940670502245
2005,14.841187423544756
2006,14.845395812033104
2007,14.867602752617978
2008,14.922046043097923
2009,14.90802208638282
2010,14.998155764888413
2011,15.011541625716667
2012,14.984854495521652
2013,15.050984366805045
2014,15.045595210701704
2015,15.074473598779903
2016,15.180228751343163
2017,15.217426922521524
2018,15.188579412935646
2019,15.230182733812388
2020,15.267311497688205
2021,15.30914287299234
2022,15.461917228138097
2023,15.5477816323156
2024,15.541201393727956
2025,15.554579239318452
2026,15.5574143910915
2027,15.591604826596686
2028,15.626775962831156
2029,15.634430247690918
2030,15.651574256478014
2031,15.62758770405082
2032,15.659087595461292
2033,15.725988770483433
2034,15.747855146780164
2035,15.82983751566149
2036,15.889737266521012
2037,15.933293083466202
2038,16.023409954893232
2039,16.127147727772527
2040,16.198211368588858
2041,16.24198713221498
2042,16.30560657838768
2043,16.383608956132584
2044,16.45619526164156
2045,16.563429858095983
2046,16.599384150604948
2047,16.588520927039575
2048,16.676346334669766
2049,16.71533870185389
2050,16.75541801784306
2051,16.813559443079974
2052,16.84536118014104
2053,16.842527574658764
2054,16.859104517365736
2055,16.907683281048723
2056,16.981513465379294
2057,17.12172161386693
2058,17.232048059136883
2059,17.265612400745482
2060,17.29532476090133
2061,17.354880532730732
2062,17.418210511223794
2063,17.479763734528103
2064,17.501795645273482
2065,17.55302539681686
2066,17.638412756320044
2067,17.748277577578513
2068,17.86305017514522
2069,17.886656502261815
2070,17.877387707004875
2071,17.89648383720727
2072,17.88105628236099
2073,17.895743018091807
2074,17.937509181052093
2075,17.973640545484763
2076,18.032904550546423
2077,18.11893434723804
2078,18.22279904043392
2079,18.309939586947003
2080,18.376276518472
2081,18.40176641769265
2082,18.44083255538164
2083,18.527776270449564
2084,18.61261037803519
2085,18.66356049430325
2086,18.724368938440424
2087,18.730670175347008
2088,18.732613556310664
2089,18.80429284148551
2090,18.848604427447448
2091,18.87100613877542
2092,18.953525990495223
2093,19.030103274209814
2094,19.101041232785228
2095,19.18537866305651
2096,19.225620075761498
2097,19.25863453280392
2098,19.32015204433324
2099,19.362864794010807
2100,19.410386963161987
