year,gmst
1951,13.956843205991056
1952,13.952411119892906
1953,13.92900491354338
1954,13.916874617831564
1955,13.929617007800848
1956,13.96711787545971
1957,14.04434248689996
1958,14.033039420600677
1959,13.987029386262764
1960,13.975076280767166
1961,13.91264300957318
1962,13.89311837501598
1963,13.90098168948798
1964,13.855052925189408
1965,13.86770022474774
1966,13.850779047131528
1967,13.82030740150856
1968,13.80243850665436
1969,13.753683298228184
1970,13.807341533805369
1971,13.886677477840388
1972,13.90644736241307
1973,13.930725269986745
1974,13.962909912407904
1975,13.948779722903902
1976,14.002465612019847
1977,14.004618758069409
1978,13.945815948193095
1979,13.959463507511275
1980,13.930078265910783
1981,13.8863013050233
1982,13.914467691571735
1983,13.931976325738097
1984,13.991054103561908
1985,14.045533692841994
1986,14.104901363742306
1987,14.112666271068738
1988,14.170005747953685
1989,14.269320062096265
1990,14.291463851059246
1991,14.25294541761524
1992,14.136102515359768
1993,14.044446045712984
1994,14.059980931254415
1995,14.151314863016143
1996,14.287680379537708
1997,14.412862940935147
1998,14.474039094688669
1999,14.585718151825892
2000,14.63169475787114
2001,14.662954944173205
2002,14.711122992547292
2003,14.731447852566616
2004,14.757110338126164
2005,14.777461664190612
2006,14.810509382999369
2007,14.868144327397738
2008,14.904114304109571
2009,14.920977404951325
2010,14.950300158777862
2011,14.986023595801816
2012,15.073759517382806
2013,15.17671436029083
2014,15.235959070851225
2015,15.238091809158847
2016,15.238288837999246
2017,15.272821946895158
2018,15.248351129196966
2019,15.24058463775802
2020,15.246807223695937
2021,15.226022455476816
2022,15.315631523982406
2023,15.41162402033518
2024,15.495560323221609
2025,15.587557968073282
2026,15.648912446159944
2027,15.6934661876124
2028,15.751135364091992
2029,15.81281871268105
2030,15.847054657273407
2031,15.919759615207775
2032,15.986442682490406
2033,16.03781006978032
2034,16.03817432149643
2035,16.03808955137784
2036,16.071908372170203
2037,16.116910679915716
2038,16.228786276127327
2039,16.330835685963404
2040,16.37883535540777
2041,16.42517544141729
2042,16.459319078097266
2043,16.472105874954362
2044,16.495780776788955
2045,16.51877182115671
2046,16.543367822537355
2047,16.589416532561795
2048,16.622246965909255
2049,16.662415658754405
2050,16.683301716401814
2051,16.688325989101187
2052,16.77693555367263
2053,16.848855751574845
2054,16.912683616446397
2055,17.027997864868684
2056,17.04510458778729
2057,17.0592342326591
2058,17.16722478450947
2059,17.21956067965854
2060,17.292433236418045
2061,17.329601944856922
2062,17.326439132669826
2063,17.39891957201243
2064,17.468098088689352
2065,17.569932789708968
2066,17.659532464417918
2067,17.65070015771451
2068,17.68197828220162
2069,17.716535629612746
2070,17.746486810683304
2071,17.809275085920277
2072,17.885194544060248
2073,17.993834120598567
2074,18.051711368998795
2075,18.080255785148672
2076,18.10166860208512
2077,18.14662592369501
2078,18.22153129713256
2079,18.29656095424494
2080,18.364790451167988
2081,18.42604870524869
2082,18.48803924423637
2083,18.58907511015842
2084,18.64154374369226
2085,18.698529954562897
2086,18.720870252221825
2087,18.713029274466077
2088,18.762678280628503
2089,18.800897144767585
2090,18.86714484224254
2091,18.91324717069579
2092,18.9718285666759
2093,19.021887127101863
2094,19.09575057384756
2095,19.214489047330584
2096,19.29592905766707
2097,19.38795682071392
2098,19.435517129409803
2099,19.463433432930653
2100,19.469027911051025
