year,R1,R2
1950,54.220165,10.225987
1951,54.34106,11.975924
1952,61.18003,26.643452
1953,54.383198,14.500454
1954,53.35821,17.975172
1955,73.22238,10.133126
1956,99.82396,12.333857
1957,68.962166,10.227925
1958,22.099836,17.655598
1959,71.852936,17.529785
1960,17.784586,16.783087
1961,42.16094,8.262937
1962,121.27207,23.490685
1963,67.05599,5.774216
1964,44.148804,11.388075
1965,80.57767,13.627016
1966,121.40857,17.305302
1967,51.62543,5.42356
1968,55.1575,8.284163
1969,46.686768,8.788934
1970,152.23697,10.605843
1971,21.710703,6.4788246
1972,30.755627,9.846198
1973,50.91851,24.05788
1974,88.13347,8.632553
1975,40.916378,32.093746
1976,100.12691,28.640667
1977,33.7733,31.154999
1978,10.626766,10.055407
1979,94.51875,19.980858
1980,66.14746,28.592684
1981,124.30668,21.677109
1982,43.88533,29.30595
1983,81.806885,9.765325
1984,120.53663,8.323759
1985,158.81999,21.958164
1986,88.2131,20.553093
1987,80.4553,15.217022
1988,19.263239,30.678349
1989,38.487362,18.90415
1990,23.186094,34.785316
1991,47.60662,34.69593
1992,71.060036,7.4914937
1993,63.287083,14.566797
1994,63.306717,12.746772
1995,70.19411,20.22715
1996,92.6889,15.569636
1997,61.454964,6.3274307
1998,126.571045,7.5158253
1999,97.89772,14.416565
2000,63.06022,7.702558
2001,46.878204,10.521002
2002,61.22029,10.175011
2003,44.162766,7.5266275
2004,103.40385,8.764631
2005,69.25523,11.91696
2006,55.098755,26.174492
2007,87.86473,25.976513
2008,158.1479,42.681103
2009,130.02725,9.843577
2010,67.34131,11.0365715
2011,161.5801,19.356398
2012,144.59425,33.422913
2013,83.79212,14.523771
2014,63.269886,18.149773
2015,41.02483,34.094986
2016,33.922516,10.533896
2017,24.076641,21.0542
2018,48.402378,23.452335
2019,10.01565,9.063053
2020,28.580944,33.86717
2021,26.161737,26.627153
2022,58.29378,14.241663
2023,29.49775,35.5281
2024,41.81689,27.739412
2025,96.89372,13.381212
2026,30.625116,20.778278
2027,149.64758,14.0598545
2028,133.38434,18.90547
2029,17.236908,10.315975
2030,35.729145,15.639011
2031,30.827074,15.571834
2032,106.0607,33.347397
2033,22.991737,13.235135
2034,45.929672,12.399806
2035,44.96913,12.076981
2036,58.317657,10.135994
2037,113.530304,30.33222
2038,18.876423,26.082191
2039,55.836803,10.68396
2040,94.853546,19.263422
2041,111.87685,14.939359
2042,62.496536,23.655573
2043,61.88282,41.157673
2044,134.37735,8.619742
2045,21.113815,17.41767
2046,34.601875,27.427208
2047,36.599796,18.345171
2048,33.099464,29.396893
2049,19.72914,28.309752
2050,100.701996,19.77118
