,R1,R2
1941,29.5,21.333333333333336
1942,30.0,16.333333333333332
1943,13.5,8.333333333333334
1944,31.5,7.666666666666667
1945,12.75,28.444444444444443
1946,12.625,2.7777777777777777
1947,6.75,16.0
1948,15.5,15.666666666666666
1949,13.25,21.666666666666664
1950,12.25,18.666666666666664
1951,17.25,9.88888888888889
1952,18.5,40.66666666666666
1953,10.75,10.555555555555555
1954,4.625,25.11111111111111
1955,21.5,4.444444444444445
1956,16.625,20.88888888888889
1957,14.75,17.11111111111111
1958,16.125,10.555555555555555
1959,16.125,12.88888888888889
1960,6.0,12.555555555555555
1961,46.375,7.777777777777777
1962,13.75,8.11111111111111
1963,2.625,3.444444444444444
1964,12.75,12.666666666666664
1965,28.25,9.444444444444445
1966,26.25,21.77777777777777
1967,7.0,0.5555555555555556
1968,10.25,23.0
1969,8.625,0.0
1970,5.625,14.88888888888889
1971,6.0,7.111111111111111
1972,0.625,16.77777777777778
1973,13.0,17.555555555555557
1974,13.5,9.777777777777777
1975,0.0,38.11111111111111
1976,8.0,23.22222222222222
1977,6.625,19.0
1978,11.125,21.88888888888889
1979,28.625,25.88888888888889
1980,15.625,24.22222222222222
1981,6.0,10.77777777777778
1982,0.625,29.444444444444446
1983,12.875,10.555555555555555
1984,5.75,13.77777777777778
1985,11.875,6.333333333333333
1986,5.125,14.444444444444445
1987,5.875,3.0
1988,15.375,19.111111111111114
1989,23.375,16.666666666666668
1990,31.75,20.55555555555556
1991,14.625,25.77777777777778
1992,7.875,7.222222222222222
1993,3.75,5.333333333333334
1994,19.25,7.0
1995,32.625,9.0
1996,29.875,10.666666666666666
1997,3.0,17.444444444444443
1998,11.0,15.0
1999,11.75,0.0
2000,5.25,10.666666666666668
2001,27.125,5.555555555555555
2002,9.625,7.333333333333333
2003,15.25,17.444444444444443
2004,28.75,8.11111111111111
2005,15.875,5.333333333333334
2006,21.875,27.666666666666664
2007,21.25,11.666666666666668
2008,13.5,8.555555555555555
2009,25.75,7.222222222222222
2010,44.875,11.88888888888889
2011,18.5,17.333333333333332
2012,10.875,9.555555555555555
2013,5.375,8.88888888888889
2014,6.25,6.444444444444445
2015,5.0,21.11111111111111
2016,7.25,14.0
2017,18.5,22.88888888888889
2018,9.0,11.444444444444445
2019,7.125,8.555555555555555
2020,15.75,15.0
2021,9.0,7.111111111111111
2022,23.25,3.888888888888889
2023,5.625,22.333333333333336
2024,23.375,15.444444444444445
2025,18.25,10.888888888888888
2026,20.375,14.666666666666666
2027,14.75,5.444444444444444
2028,11.5,21.444444444444446
2029,8.25,8.555555555555555
2030,12.75,6.333333333333334
2031,19.0,10.555555555555555
2032,24.75,26.33333333333333
2033,9.125,5.666666666666666
2034,4.375,10.0
2035,11.25,10.11111111111111
2036,12.0,13.333333333333332
2037,17.5,20.444444444444446
2038,3.125,14.444444444444445
2039,7.0,2.777777777777778
2040,0.0,4.111111111111111
2041,28.125,8.777777777777779
2042,17.75,8.88888888888889
2043,22.5,7.666666666666666
2044,31.375,10.333333333333334
2045,11.125,16.11111111111111
2046,19.625,6.0
2047,11.5,10.888888888888888
2048,12.875,19.0
2049,5.75,4.444444444444445
2050,15.125,1.6666666666666667
2051,30.25,26.11111111111111
2052,15.875,1.3333333333333337
2053,24.125,30.555555555555557
2054,4.0,11.222222222222223
2055,22.0,11.77777777777778
2056,23.25,6.0
2057,4.375,3.888888888888889
2058,5.25,19.22222222222222
2059,10.75,15.666666666666666
2060,30.75,9.444444444444445
2061,10.5,20.666666666666668
2062,19.25,14.555555555555555
2063,20.25,9.11111111111111
2064,7.75,15.0
2065,0.0,9.666666666666668
2066,27.0,19.88888888888889
2067,38.125,19.666666666666664
2068,9.25,4.666666666666667
2069,3.0,8.222222222222221
2070,9.125,1.7777777777777777
2071,12.0,27.22222222222222
2072,44.25,16.666666666666668
2073,4.5,14.0
2074,8.0,12.444444444444445
2075,9.0,10.666666666666666
2076,16.875,22.33333333333333
2077,14.5,11.11111111111111
2078,5.375,8.88888888888889
2079,19.125,6.111111111111111
2080,47.125,11.0
2081,16.75,0.5555555555555556
2082,10.875,4.333333333333334
2083,34.25,22.666666666666668
2084,6.875,23.0
2085,10.375,19.77777777777778
2086,27.625,34.44444444444444
2087,19.125,39.77777777777778
2088,21.375,21.0
2089,71.125,3.111111111111111
2090,13.375,36.55555555555556
2091,8.375,12.88888888888889
2092,16.75,10.22222222222222
2093,10.0,29.88888888888889
2094,20.5,0.6666666666666666
2095,2.5,17.22222222222222
2096,11.625,10.22222222222222
2097,21.875,1.5555555555555556
2098,33.875,11.777777777777777
2099,41.125,30.0
2100,16.0,10.666666666666668
