year,R1,R2
1950,301.93835,28.205225
1951,470.9422,72.39246
1952,675.1587,81.196846
1953,359.67938,44.599483
1954,367.089,71.05733
1955,459.61627,93.11251
1956,567.3566,80.229454
1957,506.69226,21.240574
1958,300.8815,56.62053
1959,746.80347,89.33292
1960,553.73303,137.83522
1961,359.23184,86.65624
1962,667.298,47.943886
1963,394.46344,66.2196
1964,430.93692,66.628265
1965,499.64328,25.778332
1966,370.88947,88.00552
1967,509.53366,60.36378
1968,515.5308,26.51179
1969,480.8495,55.564133
1970,694.82,62.44107
1971,457.00104,108.419945
1972,437.40436,64.03814
1973,306.80798,67.48847
1974,673.72485,34.306717
1975,184.78036,159.40947
1976,268.82462,103.86685
1977,149.26682,114.545105
1978,268.69962,85.6879
1979,416.50467,54.482986
1980,398.19574,73.83859
1981,412.13336,51.203957
1982,286.0669,94.10217
1983,1002.9959,42.06309
1984,290.58386,106.62545
1985,396.44476,109.44626
1986,388.37115,36.441067
1987,394.34967,102.368416
1988,141.78845,162.58113
1989,392.43115,54.653927
1990,626.788,64.58222
1991,274.56732,186.02692
1992,618.6987,37.344936
1993,488.9793,91.26204
1994,239.0586,73.39771
1995,894.58234,52.53281
1996,841.5368,70.58435
1997,358.76422,118.997826
1998,1211.5497,86.42263
1999,681.2987,58.910862
2000,333.30606,65.95992
2001,388.62164,103.711945
2002,593.8293,92.94782
2003,566.9721,63.485497
2004,915.8248,89.54875
2005,650.80804,70.6498
2006,174.36975,69.161156
2007,671.35504,108.70334
2008,783.46136,72.66724
2009,809.1721,100.923
2010,887.8724,106.0531
2011,422.8625,133.5907
2012,875.28125,86.8795
2013,696.82556,34.610367
2014,422.14627,80.45264
2015,371.2687,86.62245
2016,229.72467,58.691273
2017,707.79645,71.93405
2018,459.2504,91.09597
2019,315.73386,52.293266
2020,347.8684,146.27858
2021,332.49582,61.27403
2022,747.7968,54.69551
2023,648.2706,83.28376
2024,215.17007,127.76068
2025,669.9664,87.175766
2026,261.6345,104.3634
2027,310.6917,74.05788
2028,374.28107,156.2734
2029,290.40173,110.69195
2030,444.48404,45.812
2031,482.7655,65.095436
2032,1132.9564,134.34573
2033,197.75552,112.38958
2034,440.68817,185.33736
2035,758.0791,121.43957
2036,497.0598,65.500496
2037,955.23004,112.69589
2038,850.3213,107.24256
2039,802.3047,53.188126
2040,581.3702,72.720184
2041,495.90796,112.75097
2042,1046.0852,114.428116
2043,788.1522,155.36053
2044,479.64093,50.0803
2045,256.24225,76.59686
2046,857.909,175.55313
2047,614.8495,44.228695
2048,307.37805,113.248215
2049,520.9968,120.2205
2050,178.21078,143.36588
