year,R2,R1
1970,10.022173,199.14824
1971,8.987824,60.027054
1972,63.097248,116.75862
1973,5.651746,61.05089
1974,20.045837,73.03822
1975,6.971248,114.22938
1976,3.413568,86.202194
1977,9.281329,142.38919
1978,7.0053816,191.85463
1979,4.814571,85.22758
1980,5.11115,39.801838
1981,15.967811,115.5957
1982,7.209652,199.89258
1983,11.012922,164.72736
1984,30.317852,356.24393
1985,16.86471,148.14072
1986,17.409592,363.92123
1987,17.16814,212.99739
1988,9.311462,95.32365
1989,17.2873,211.6084
1990,8.913753,145.80637
1991,10.568138,235.62856
1992,48.915707,192.09576
1993,11.087559,154.85066
1994,19.501387,54.6316
1995,14.610068,133.0123
1996,18.03742,154.13126
1997,7.343997,168.78302
1998,16.421558,190.62244
1999,24.20611,65.03099
2000,8.167579,102.97437
2001,11.862372,93.04463
2002,13.522432,95.93863
2003,20.200563,209.62833
2004,27.397274,323.4708
2005,8.881604,115.86365
2006,3.0026875,83.60595
2007,7.6225867,83.502655
2008,5.0721397,156.13278
2009,9.598113,186.45276
2010,15.966199,341.88135
2011,7.6782417,202.41635
2012,14.56288,61.177704
2013,32.073048,181.19977
2014,9.838835,166.9349
2015,7.594501,202.81146
2016,18.006994,243.58453
2017,9.717814,132.35327
2018,5.146123,58.76083
2019,11.77309,100.08041
2020,10.274236,92.217186
2021,8.236307,140.58647
2022,20.511597,42.61154
2023,8.694659,108.25911
2024,29.642214,87.01332
2025,13.697731,210.85954
2026,10.337767,152.26576
2027,25.265547,162.31972
2028,17.955824,383.96765
2029,49.255733,250.84036
2030,37.98996,67.4154
2031,9.021325,297.76318
2032,8.311345,184.25854
2033,11.966786,157.28792
2034,30.202747,167.58615
2035,14.410645,190.32631
2036,17.86091,278.44955
2037,12.327398,181.89839
2038,29.408623,168.8364
2039,20.414366,271.97156
2040,54.313007,168.39867
2041,20.972399,128.3751
2042,36.918076,160.80655
2043,9.236237,194.28807
2044,6.584687,87.3172
2045,20.529205,228.04813
2046,10.4232,228.90701
2047,14.878018,125.601685
2048,15.214395,261.46524
2049,21.899458,394.23776
2050,11.865014,212.97757
