year,AM,BC,BP,BSE,BSW,HP,MC,PM,TC,TP,TSE,TSW
1979,1365.3583,639.6692,499.86273,1159.063,628.2826,710.3557,731.49817,2149.6965,529.85077,372.67505,995.0717,343.46835
1980,1203.4436,714.13684,557.13727,1076.7671,594.2278,702.6179,1008.49554,2556.692,582.9094,398.51688,891.6774,411.3249
1981,1347.0933,691.01245,492.80258,1025.5187,552.4112,591.08844,870.9113,2481.5054,609.2292,421.45663,820.91156,408.0453
1982,1134.7688,562.3417,521.13617,1050.7059,674.1915,739.94885,952.64,2185.155,545.2835,403.63593,848.7888,401.4149
1983,1348.5807,593.8994,548.1063,1142.0271,636.8349,691.1496,874.6532,2289.3484,479.1751,347.1352,911.58307,481.57114
1984,1161.9076,668.1184,609.8463,1007.35803,675.34467,665.817,927.68097,2693.8005,570.6304,490.82153,830.8677,458.56253
1985,1011.43365,697.36975,541.7689,972.46356,710.9868,770.3106,784.3598,2050.6445,561.37604,415.9805,807.38196,464.7845
1986,1150.963,726.46216,543.0827,997.0937,654.3428,660.34235,899.8121,2537.432,576.68445,430.03403,841.09216,432.12476
1987,1016.4495,736.9448,522.42896,942.21967,574.21124,640.4098,826.09674,2652.228,556.13025,402.11163,879.7469,452.9295
1988,1229.476,781.6737,565.7622,1090.9431,672.0706,674.99994,921.9241,2583.525,570.6965,483.70428,810.41046,466.9552
1989,1079.4275,633.91406,573.8984,942.8745,570.8863,570.24615,921.74524,2291.9287,545.98193,405.12054,807.7168,419.96698
1990,1339.8215,681.3905,515.1375,1078.3682,596.67883,640.783,1063.2317,2692.6,590.6161,417.34332,844.39545,471.205
1991,1152.8275,774.42566,554.36084,954.69305,648.9136,653.87354,932.1575,2646.5127,640.8361,482.80438,746.9792,503.02026
1992,1091.7242,674.47943,491.42908,1009.1134,634.7466,664.1493,839.90466,2437.7607,548.2402,395.9063,860.4257,411.71783
1993,1263.6235,711.8594,560.19604,1073.0428,611.50433,625.2625,879.6845,2190.2698,588.3324,385.5139,820.0883,435.1411
1994,1272.3347,675.6536,528.41003,1043.784,633.2619,650.6325,936.9325,2763.1414,537.4892,377.66763,823.1032,376.73676
1995,1163.5326,575.92395,541.10815,1070.4808,646.76654,689.1346,914.2076,2307.435,570.621,354.8477,805.1333,458.81723
1996,1303.6704,619.624,642.5963,1087.4844,682.52637,650.011,977.52893,2442.613,558.3065,453.1262,846.5278,417.07126
1997,1097.5865,730.78625,638.9181,995.51105,698.37695,650.9025,996.82214,2948.1912,577.57623,442.46136,852.3202,455.8198
1998,1269.6311,517.822,477.4286,1049.9089,597.1873,600.85004,842.8303,2283.4841,508.23938,408.8003,859.0033,410.52936
1999,1252.1985,738.26605,519.66864,1156.9639,687.62823,707.92285,983.7914,2814.8345,539.1357,427.89175,1010.98114,499.40985
2000,1194.9515,706.3692,568.00385,1024.2957,679.31195,640.3189,834.8943,2265.6665,574.53046,417.50912,853.84875,419.40158
2001,968.0328,712.4706,482.21832,1011.9606,693.6267,736.12604,891.3586,2762.4993,502.25238,447.85532,909.0518,466.29144
2002,1228.2212,631.167,484.6658,1059.222,665.4322,732.9987,833.96967,2267.096,601.76166,433.8098,858.262,459.31354
2003,1228.7734,654.5781,516.08563,1075.7509,613.116,580.9202,879.6014,2618.6396,557.597,437.285,863.7998,450.96017
2004,1101.4783,721.9354,597.0334,1056.7926,709.5065,774.9691,973.5506,2523.067,499.4898,332.18893,922.45355,376.2705
2005,1321.6171,745.1898,573.5295,1022.0462,761.34076,743.8917,935.3723,2696.448,578.7776,450.94604,908.11255,523.6152
2006,1180.9297,680.48334,584.4407,1067.5004,628.9594,692.4612,860.1635,2523.1792,554.424,425.83374,897.8312,459.08493
2007,1203.8772,753.1686,585.70233,1030.4076,748.03894,802.1743,981.18024,3048.1167,517.1912,447.13748,957.68164,461.48926
2008,1396.9326,744.08374,509.7877,1149.0007,651.0724,732.40546,851.5811,2465.6519,606.7641,430.9486,881.51605,437.18243
2009,1268.7272,665.9598,497.26672,1003.9077,670.71124,683.21136,821.3199,2322.921,517.70245,445.43277,850.268,421.14365
2010,1313.2079,627.05524,568.8021,1030.6886,672.51697,678.5341,800.21875,2487.5266,560.69916,453.32373,916.1991,420.07492
2011,1393.9032,748.4798,548.67944,1061.1138,587.18195,627.7087,1065.9977,2940.0183,600.76044,419.40576,818.9413,441.9689
2012,1191.4789,648.1882,609.2334,1053.5676,695.3126,728.9552,963.5164,2493.5366,534.15204,418.21918,926.9659,462.6856
2013,1278.5331,753.83954,577.33356,1142.6835,606.4773,647.9745,911.191,2265.0107,598.7473,421.61407,864.7464,374.92413
2014,1419.2682,651.35077,518.80524,1141.1765,651.2813,692.9685,905.7335,2482.6074,587.14325,399.17307,874.7208,439.59537
2015,1249.1621,731.28656,499.94232,1032.2306,680.8301,734.5308,926.6815,2554.0647,675.09064,469.4348,898.8351,423.4502
2016,1237.9257,632.7001,669.76447,1110.6427,724.641,710.58716,974.57446,2485.693,593.7504,429.88715,857.9095,460.23517
2017,1213.739,678.41254,564.441,1210.7534,655.4909,666.53046,898.90576,2505.877,559.50464,427.33246,934.73895,461.63794
2018,1306.749,609.19574,547.93286,1118.0817,623.38367,643.69006,904.2595,2285.4026,614.8861,426.25262,864.2476,406.03983
2019,1374.9261,673.35956,563.51117,1121.0253,673.00995,685.80597,946.1281,2154.257,559.0578,420.37698,912.1477,463.92065
2020,1113.7576,840.6795,635.68115,1162.534,746.04803,717.89984,1091.6128,2934.4963,649.45605,484.3265,990.1935,528.5718
2021,1245.1216,729.1062,481.36884,1050.6149,636.4399,691.23395,955.16486,2899.5225,552.458,426.53647,953.60785,510.47513
2022,1240.7694,733.0,533.6042,1078.473,666.3284,688.53625,783.13556,2145.1194,584.90674,377.81647,854.17725,412.04877
2023,1299.6045,704.02826,466.47488,1042.604,565.1707,570.34717,786.54846,2323.36,606.7373,371.11877,751.68506,404.34375
