year,AM,BC,BP,BSE,BSW,HP,MC,PM,TC,TP,TSE,TSW
1950,1217.0575,496.1106,486.93002,1077.8958,679.7786,676.048,875.2204,2416.5613,506.84665,393.29752,953.90186,445.514
1951,1366.1154,518.8694,551.7163,1065.6625,657.8784,686.0809,835.33105,1944.3622,499.14948,415.4207,848.2734,415.27094
1952,1112.911,699.6413,482.81296,1100.8837,694.17035,832.75134,783.4292,2500.8477,557.4972,429.8156,918.3714,512.47595
1953,1108.084,676.8032,484.06213,991.04675,610.96576,662.98376,1054.0884,3134.1523,547.14435,381.88898,923.1031,427.2181
1954,1378.0454,633.84204,538.8581,1064.1665,642.79803,650.5047,1072.2991,2987.8074,539.72296,391.558,830.2179,427.7848
1955,1003.7766,543.5149,513.7473,938.6348,701.19635,728.2422,903.8696,2515.1694,533.36615,406.9167,824.4219,459.0969
1956,1135.0612,720.2246,509.6508,1012.5516,563.06226,554.6466,870.9617,2664.6223,634.03186,454.80786,826.52655,406.24554
1957,1106.4362,598.43164,533.7346,1042.5447,635.94244,640.66595,881.99506,2183.98,552.2596,429.6275,895.09326,422.65204
1958,1285.7856,576.6129,446.5985,1063.151,675.1992,731.5374,835.6962,2552.9973,552.625,422.35522,962.80524,436.44724
1959,1222.2964,699.29675,529.8912,1043.6835,732.45013,802.0296,1046.1649,2766.1423,544.4818,393.07648,992.00146,473.93652
1960,1077.6747,679.23145,556.2091,1042.7181,616.22705,701.0924,865.86755,2570.4185,604.115,487.3946,926.9785,542.6162
1961,1108.6742,685.7218,465.85687,967.0985,596.74036,637.5458,952.66125,2790.8083,578.6453,403.84506,795.79865,477.6736
1962,1227.7305,734.4268,600.08984,943.87885,660.98157,620.54047,960.5723,2713.1116,606.42975,500.5233,765.71405,449.46466
1963,1196.0576,665.86615,494.12378,943.1598,603.7523,529.31384,940.0477,2751.7705,558.60913,443.58478,875.6465,448.24225
1964,1026.0204,630.6294,555.2485,1037.2408,663.0588,656.6022,1042.3337,2794.7922,542.588,381.95303,902.6391,381.58215
1965,908.5763,567.86334,513.5864,1019.1848,647.1164,653.7819,959.82184,2460.723,562.2236,385.84244,960.091,371.94012
1966,981.8591,594.1037,499.37918,1067.0276,622.9348,706.7998,1050.8289,2909.8918,457.99225,379.52505,962.1888,421.78836
1967,1148.8181,583.2074,414.97,963.42535,566.5966,667.16846,944.8846,2790.4883,563.7098,363.82318,810.37836,382.40042
1968,1006.0804,668.11206,508.5308,1002.74634,697.34894,713.3022,1057.2408,3014.248,453.3306,354.37775,925.33575,442.19476
1969,1112.1356,589.9799,469.62637,1009.9239,651.5561,717.166,878.30634,2429.5735,480.14645,355.3617,932.027,352.54776
1970,1091.0459,607.4481,518.0674,946.7163,654.44336,671.3046,797.57904,2242.0068,568.2419,422.9615,766.6754,392.93756
1971,1030.1372,567.24634,529.12756,957.3134,652.9769,723.143,1007.5373,2675.4724,497.7066,362.44812,922.2952,398.20663
1972,1191.145,630.9949,505.9838,933.16724,563.9894,568.9956,1030.9576,2512.8374,543.7227,392.2668,809.74664,391.71747
1973,1260.0597,609.8519,656.79224,1107.7302,683.7884,661.0236,872.3418,2486.9202,532.76855,407.52283,898.4339,393.49066
1974,1260.3359,764.7468,555.8567,1066.8455,655.4898,645.0155,930.69037,2707.7456,635.11664,455.5357,769.37866,460.74152
1975,1150.7921,631.9181,581.7303,970.94696,659.6991,719.2023,947.8841,2563.7725,524.27405,402.54712,840.3943,410.16812
1976,1351.1074,724.86786,547.3052,1099.8573,612.89935,596.33264,988.57446,2733.7334,523.7419,431.93005,842.0103,427.15207
1977,1266.6173,681.8378,582.60425,1052.8711,688.45905,660.3531,893.7976,2379.9272,523.2365,399.96823,888.5084,453.59045
1978,1050.3243,644.88904,560.15656,1026.3542,631.4305,667.97943,855.0848,2193.5273,568.02234,395.16727,908.49414,400.9066
