time,AM,BC,BP,BSE,BSW,HP,MC,PM,TC,TP,TSE,TSW
1950-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1950-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1950-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1950-04-01,0.37291947,0.0,0.19134003,0.020034742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1950-05-01,25.52416,1.7035278,14.555492,4.9800715,2.8624682,5.907724,1.5241746,0.079003714,0.11174939,13.66099,0.43415055,0.5953702
1950-06-01,22.885975,35.129837,49.19448,8.386342,7.115057,3.1859267,19.275717,3.4327059,4.963143,40.98569,1.6041011,11.634557
1950-07-01,17.579384,12.943625,52.83456,13.967873,19.346611,14.852461,45.98089,5.7106295,19.188658,52.748367,3.2089143,53.268394
1950-08-01,19.881535,16.122066,43.071136,20.811838,24.666136,49.027782,32.328545,5.897387,9.005943,19.742502,10.258784,19.474771
1950-09-01,14.832394,11.141945,89.76264,19.103899,20.247232,20.720495,80.71439,14.673387,1.2955185,28.03272,2.5076551,8.699898
1950-10-01,17.155706,1.5632473,4.0279174,3.751338,0.19170327,0.3017692,3.137284,0.52941513,0.016802385,3.1077182,0.06632791,0.05957369
1950-11-01,0.30519125,0.0,0.03189608,0.03659929,0.06289089,0.0,4.2857173e-05,0.004292574,0.0,0.0,0.0,0.0
1950-12-01,0.0034172577,0.0,0.0,0.0,0.0,0.0,0.0,5.6361364e-06,0.0,0.0,0.0,0.0
1951-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1951-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1951-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1951-04-01,0.06836437,0.0,0.09400758,0.04119842,0.0013324973,0.0172323,0.1334848,1.894386,0.0,0.0015922992,0.0,3.9795188e-05
1951-05-01,9.580561,1.6592393,16.737019,12.499066,9.352724,7.09511,2.2288246,0.26400587,0.024233101,2.8589091,0.7105258,1.5183629
1951-06-01,16.067492,5.4732265,27.480213,20.402931,12.73464,26.620146,27.46936,15.195759,1.4096023,13.408868,8.420655,11.018398
1951-07-01,13.9819145,29.513039,17.24872,16.197803,18.52204,18.969713,69.647545,27.81953,15.979968,15.418108,9.158811,28.578365
1951-08-01,4.712517,40.22538,23.672802,15.943556,8.765577,23.557863,92.450775,31.82521,32.076855,23.286951,9.282614,30.48322
1951-09-01,9.25573,31.715672,36.792957,7.1902785,5.057567,7.6901536,45.993263,26.900827,1.8832754,19.813938,1.3563235,11.802988
1951-10-01,4.6012754,0.016653951,2.7495208,1.5802504,1.1359457,1.1620756,0.5334208,0.030828971,0.0,0.24377382,0.049672157,0.10773738
1951-11-01,0.058238152,0.0,0.0,0.0071745752,5.1940724e-06,0.0,0.0,0.014972307,0.0,0.0,0.0,0.0
1951-12-01,0.00057989534,0.0,0.0,4.4303153e-05,0.0,0.0,0.0,0.0019498966,0.0,0.0,0.0,0.0
1952-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031670067,0.0,0.0,0.0,0.0
1952-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1952-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1952-04-01,0.28897467,0.0,19.775215,1.4156513,3.9337888,0.9137219,0.24541718,0.049707755,0.0,1.6784863,0.0,0.24138495
1952-05-01,2.738088,1.1461573,59.471436,5.455421,19.733551,11.20194,8.556595,0.5441676,7.6784694e-05,15.324362,0.5853624,6.66755
1952-06-01,7.8239517,2.1592603,48.498913,9.421789,12.490988,8.894815,7.9575405,0.61613625,2.8074124,37.763584,2.3709726,31.345102
1952-07-01,47.444984,14.39087,28.423225,26.976454,9.568643,12.901235,49.85214,17.022861,6.5567966,25.220695,11.191829,21.60101
1952-08-01,23.39522,26.039082,39.343628,12.802154,15.932308,10.51108,99.62334,34.651634,3.8649204,12.846683,3.335515,9.509384
1952-09-01,18.611673,0.65889144,25.411753,4.1665287,3.6927888,1.9119035,37.839664,6.957031,0.019174695,8.39036,1.1725935,2.1959634
1952-10-01,4.6256857,0.41714478,18.396547,1.1523176,0.27810362,0.02119594,34.012,3.7718368,9.440561e-05,2.2610745,0.050160542,0.0029379057
1952-11-01,0.19600356,0.0,4.667658,0.047809005,0.056364425,0.0,0.7958119,0.015206431,0.0,0.7401545,0.0,0.0
1952-12-01,2.0566906e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.003721732,0.0,0.0,0.0,0.0
1953-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032488548,0.0,0.0,0.0,0.0
1953-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026726956,0.0,0.0,0.0,0.0
1953-03-01,0.0,0.0,0.0,0.00011874606,0.0,0.0,0.0,0.0020687163,0.0,0.0,0.0,0.0
1953-04-01,0.21513481,0.013704397,0.7176625,0.046544988,0.009747357,0.0,0.019336194,0.027452938,0.0,0.9164917,0.0,0.0
1953-05-01,10.685218,4.386499,25.347458,7.936039,5.040705,0.96686745,5.5898166,0.4981876,0.31014353,17.684622,0.021521471,1.7528319
1953-06-01,29.97464,15.90112,35.003105,27.321655,12.559151,8.002583,3.3828664,0.47561932,2.4050477,30.66178,2.4733698,12.058245
1953-07-01,26.37906,6.751383,36.098736,21.87419,25.097048,23.908186,32.13832,5.47912,2.1340234,19.054602,8.059242,22.188574
1953-08-01,22.235716,10.808334,62.78697,42.16016,35.16733,33.1075,43.993813,10.36796,6.4428444,42.764328,5.4607754,38.16641
1953-09-01,15.316104,3.0657883,52.766994,10.248097,4.640833,8.106316,38.96536,5.675624,0.14825082,20.519989,0.53779274,1.0726565
1953-10-01,10.592016,0.0021931778,41.069252,6.1474257,4.4550233,3.135111,3.2158678,0.020519048,0.0,0.5813716,0.03955259,0.21977074
1953-11-01,0.21950826,0.0,1.5058125,0.265484,0.052952092,0.0001967521,0.12742136,0.00026291783,0.0,0.0,0.0,0.0
1953-12-01,0.0074699325,0.0,0.0,0.00048937526,0.0,0.0,0.0,0.0009983457,0.0,0.0,0.0,0.0
1954-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015147106,0.0,0.0,0.0,0.0
1954-02-01,0.0,0.0,1.4898152e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1954-03-01,0.0,0.0,0.0,1.567734e-07,0.0,0.0,0.0,0.0038657968,0.0,0.0,0.0,0.0
1954-04-01,1.400239,0.0,0.41326696,0.13660194,0.06422983,0.0,0.0,0.0008479746,0.0,0.0,0.0,0.0
1954-05-01,5.391289,1.5822465,10.445653,5.8370585,2.7879798,3.830707,2.4084039,1.3742552,0.13870147,9.368264,0.4994086,1.9791341
1954-06-01,14.4876,11.708451,34.861324,16.968376,17.185402,20.631245,7.1979537,0.18766458,1.5959501,35.142014,27.352926,30.116966
