time,AM,BC,BP,BSE,BSW,HP,MC,PM,TC,TP,TSE,TSW
1950-01-01,92.26137,22.722363,15.148438,100.19844,23.65147,39.967678,45.542336,90.39586,33.60521,20.882322,51.42548,3.994786
1950-02-01,88.048515,32.511223,25.145504,50.175064,24.855736,18.823566,83.53307,367.43488,13.521115,24.216072,14.751927,15.648513
1950-03-01,81.44852,16.87633,11.440458,74.84008,21.356138,26.06165,58.691578,191.39136,6.0867844,6.7375245,64.24622,11.556846
1950-04-01,107.99555,30.733181,31.5073,85.91745,36.48483,48.811615,72.913765,223.60854,19.035334,22.38802,40.06518,13.965642
1950-05-01,45.242332,40.625122,57.104534,61.945854,76.258606,61.83535,60.35531,160.75552,44.30745,31.811256,59.290485,46.384254
1950-06-01,126.57129,39.652267,59.753754,142.7635,99.13045,120.67935,53.58811,60.17929,96.41774,49.070156,139.06033,52.583256
1950-07-01,97.99258,87.73394,83.19272,113.276955,87.07445,68.651566,65.37761,89.81573,100.45616,63.441757,135.60814,55.908722
1950-08-01,114.04115,68.71253,61.261925,79.35997,98.818474,84.348915,78.18788,129.13698,67.852234,62.74275,103.6535,74.930786
1950-09-01,52.196735,54.148777,33.770176,62.925606,51.496834,39.01824,42.897408,171.98424,60.627213,42.875732,91.85988,78.52833
1950-10-01,76.542564,32.086998,41.712677,90.74538,88.405106,77.54067,111.35322,288.12646,21.588535,28.602993,106.69416,48.4789
1950-11-01,177.50938,36.454887,41.907524,132.17937,43.67629,52.31233,111.15106,295.86533,21.86401,22.217201,90.66416,27.994312
1950-12-01,157.20752,33.852955,24.984928,83.568375,28.570234,37.99723,91.629036,347.86612,21.485062,18.311785,56.582222,15.539606
1951-01-01,119.39131,27.16619,17.073484,76.40373,17.464512,19.088223,70.75092,225.36801,15.026611,11.980912,32.935173,12.881399
1951-02-01,132.37137,25.338566,16.429152,70.20919,19.69951,18.162777,65.38683,208.02333,19.444874,15.420743,39.033455,11.771263
1951-03-01,69.22415,35.84801,34.81892,72.76258,39.84358,43.300365,63.68518,193.9842,16.009914,15.575497,38.799385,20.695518
1951-04-01,126.00152,33.108776,32.25745,77.972206,37.300972,44.817795,27.350897,90.56004,29.315226,19.940243,44.418884,19.045298
1951-05-01,107.127235,53.533146,76.58339,58.55289,63.647724,58.216904,84.97207,136.2256,37.457893,55.210403,68.32662,72.50242
1951-06-01,64.10729,77.70673,74.865395,89.8567,86.63675,72.77236,50.86493,63.518597,100.034325,59.25879,81.76524,48.143112
1951-07-01,150.80614,69.34877,90.444046,119.354065,96.294846,98.49274,83.49561,65.015175,72.294205,66.703064,120.062485,65.47098
1951-08-01,144.90543,48.421436,73.22726,98.02479,93.08528,68.77691,61.26812,55.336136,73.85222,66.658875,80.16554,60.293648
1951-09-01,88.99299,38.54106,51.675426,115.40401,97.18181,122.84233,62.51424,136.95026,60.152386,38.40864,120.45495,42.195595
1951-10-01,83.93838,41.066967,39.61925,107.898964,49.802063,73.610855,111.03654,259.64587,29.43071,24.371134,105.705925,26.307858
1951-11-01,158.64995,37.858253,28.65967,115.149025,33.712376,39.431858,70.60945,297.4412,24.259998,23.689526,77.82209,19.915285
1951-12-01,120.59956,30.931505,16.06305,64.074066,23.209179,26.567492,83.39631,212.29398,21.87119,18.202976,38.783535,16.048374
1952-01-01,138.00583,54.0654,22.929262,93.49179,21.089184,26.648914,84.801025,335.24338,15.096022,13.854624,56.736813,14.6016445
1952-02-01,124.58313,27.38817,17.121313,62.502583,19.808908,18.762432,65.67644,254.22778,17.594925,11.914837,47.89508,9.48349
1952-03-01,70.66268,36.581207,20.630392,74.271164,19.111526,23.09623,59.802063,185.49454,23.333527,26.595848,51.90672,18.451946
1952-04-01,72.72311,51.06419,17.541405,68.65456,34.522476,35.725098,66.23452,285.66547,38.68087,38.168407,48.401386,44.955925
1952-05-01,97.58715,46.66448,53.56119,80.33363,64.99496,66.306984,44.364025,92.889,38.770542,42.271683,51.10928,42.83378
1952-06-01,128.6946,90.59362,103.08394,109.04193,105.87813,104.46964,126.105934,122.49762,71.39812,42.703907,100.96174,44.878994
1952-07-01,68.14478,76.63473,94.034004,132.4451,148.96078,167.00284,52.47202,57.448032,120.31921,76.86268,129.44107,81.26792
1952-08-01,105.471344,69.349655,61.187504,130.87082,77.6006,102.59281,55.57852,107.59801,79.49367,76.339226,137.91983,80.35421
1952-09-01,67.74907,82.65102,45.973045,109.96189,83.707375,104.75024,57.887703,224.9119,72.05721,47.11504,121.41965,65.848816
1952-10-01,114.48557,78.72793,25.13724,92.880775,52.271454,78.85795,44.428204,231.43935,41.028877,26.896643,83.512596,58.98419
1952-11-01,55.78051,54.34856,16.083061,76.55553,48.32759,63.784405,48.328278,247.57004,28.333586,16.39478,44.29296,27.618164
1952-12-01,72.0722,33.48956,6.8531384,72.8901,19.798864,43.035614,79.8968,362.7145,12.917926,11.875503,47.291122,24.60095
1953-01-01,91.28571,23.554264,27.75648,83.57077,23.648489,26.485044,141.25844,395.7873,7.8415384,9.986033,39.347034,6.69505
1953-02-01,108.57365,38.102844,12.489383,77.09123,15.742003,32.534027,58.5424,255.75577,14.600534,7.3005695,59.26878,12.653956
