year,AM,BC,BP,BSE,BSW,HP,MC,PM,TC,TP,TSE,TSW
1999,15.342471,7.715349,12.151642,14.492194,12.717668,15.663753,7.954229,7.033814,7.14304,10.170978,18.793373,16.174866
2000,14.910521,7.421862,11.703117,13.995583,12.433243,15.551109,7.490284,6.8553634,6.87096,9.742376,19.014776,15.911649
2001,14.281242,7.595491,12.135439,14.178761,12.665175,15.237555,7.9692945,7.1258855,7.114506,10.123419,18.299425,16.17524
2002,14.954742,7.64244,11.887959,14.443865,12.49152,15.307106,7.773203,7.0200124,7.1438637,10.090981,18.72753,16.119995
2003,14.564506,7.420491,11.74707,14.152728,12.423085,15.1851425,7.8161883,6.998771,7.298001,10.059694,19.016666,16.029308
2004,14.80454,7.520291,11.699389,14.387427,12.585309,15.429426,7.509272,6.8830295,6.962841,9.859913,19.09431,15.661876
2005,14.723903,7.536673,12.016794,14.172646,12.575779,15.119088,7.78428,7.100265,7.227787,10.102822,19.093517,15.994848
2006,14.542511,7.7368684,11.83171,14.084552,12.339099,15.086096,7.6581554,7.1508107,7.362003,10.162912,19.25205,15.58067
2007,15.03803,7.401412,11.847104,14.55697,12.640243,15.420008,8.044126,7.0827317,6.6699934,9.917797,19.00538,15.649579
2008,14.607111,7.803348,11.536196,14.07992,12.417762,15.4729395,7.948704,7.2145057,7.384404,10.209642,18.636292,15.981923
2009,14.732445,7.4600286,11.410825,13.953823,12.026037,14.713987,7.8980317,7.171889,7.166353,9.98293,18.656921,15.798031
2010,15.003631,7.576537,11.249844,14.401454,12.309427,15.010649,7.788867,7.460462,7.1190844,9.829864,18.934586,15.788004
2011,14.950813,7.852036,12.131803,13.983185,12.498528,15.029504,8.19537,7.2156777,6.9698625,10.061159,18.642908,16.108303
2012,14.558948,7.8946085,11.857846,14.101175,12.282869,15.052497,7.899526,7.1533685,7.403453,10.109792,18.008673,15.5881405
2013,15.232692,7.6782074,11.39758,14.42219,12.163515,15.233172,7.460713,6.530928,7.3958383,10.032702,18.993399,15.309359
2014,15.14211,7.327404,11.556064,14.392176,12.824025,15.563051,7.4879236,7.1470256,7.3964496,9.940361,18.929852,16.382874
2015,15.161936,7.737338,11.776509,14.576275,12.520069,15.853394,7.6178355,6.8542495,7.140704,10.283252,19.151587,16.225805
2016,14.80717,7.4715776,11.333459,14.073059,12.165995,14.7918625,7.4910717,7.159664,7.313052,9.813395,18.192749,15.432765
2017,14.991649,7.8537188,12.208527,14.39773,12.816968,15.569373,8.002142,7.1676946,7.389207,10.232986,19.249062,15.848403
2018,15.568247,7.790094,11.751741,14.590864,12.528486,15.123648,7.5938597,6.9058766,7.4793806,10.273516,19.312037,16.299995
2019,15.671948,7.438812,11.659426,14.625747,12.536387,15.197142,7.345256,6.6692605,7.6694436,10.314494,18.77551,16.115442
2020,15.508151,7.703658,12.523829,14.490496,12.732585,15.177463,8.354072,7.247888,7.267148,10.124334,19.281687,16.170132
2021,14.994812,7.7110386,12.330204,14.046433,12.540656,14.751146,8.358388,7.369682,7.2334247,9.969855,18.435112,16.052912
2022,15.191719,7.717209,12.217957,14.59587,12.98787,16.262554,7.7902617,6.95838,7.343353,10.199059,19.525864,16.288544
2023,14.486962,7.6850266,11.4341545,13.486063,12.152542,14.422357,7.551202,7.01172,7.4657793,9.860155,17.614016,15.752208
