year,AM,BC,BP,BSE,BSW,HP,MC,PM,TC,TP,TSE,TSW
1950,15.41749,7.2252254,11.450935,14.601992,12.210146,15.570325,7.4860325,6.7850866,7.240281,9.852159,19.435572,15.473815
1951,14.418505,7.3218327,11.646933,14.218026,12.251984,15.226164,7.4458213,6.750606,7.0785,9.5457735,18.975113,15.903553
1952,14.545677,7.8819847,12.050234,14.238489,12.563765,15.028865,7.7434363,6.6535144,7.0965915,9.606722,18.608894,15.556009
1953,14.834719,7.486564,11.498642,14.301369,12.362516,15.370128,7.920171,6.9147687,6.9996467,9.4930935,18.440363,15.608454
1954,14.651423,7.219155,12.132798,14.241846,12.512799,15.187828,7.9108815,6.871345,7.108644,10.072431,18.085367,15.948555
1955,14.846357,7.7157044,12.1788845,14.497013,12.770409,15.707771,7.691332,6.7976418,7.2568874,10.343897,18.946869,16.213646
1956,14.776641,8.007688,11.906273,14.137798,12.336603,15.122732,7.8299723,6.7848296,7.4275794,10.258353,18.63733,16.167055
1957,14.996682,7.209693,11.700606,14.506774,12.532907,15.590569,7.223704,6.4373636,7.2434816,9.975161,19.126133,16.447296
1958,15.393233,7.3546195,11.657501,14.534571,12.364646,15.141049,7.446379,6.7563314,7.0239806,9.46284,18.738955,15.278858
1959,14.994888,7.59988,12.262248,14.626149,12.832002,15.685913,7.8489585,6.876098,6.8984437,10.054786,19.903378,16.736582
1960,14.877566,7.527456,11.911864,14.324393,12.603289,15.396982,7.7751637,6.7224727,7.11471,10.148482,18.599863,16.665512
1961,14.375243,7.7726517,11.888336,13.505632,12.453056,14.92055,7.825478,6.8925686,7.288481,10.103322,18.058353,16.031748
1962,14.954976,7.500938,11.760959,13.915284,12.536517,15.151783,7.6671596,6.780247,7.2930083,10.348441,19.153795,16.048273
1963,15.480351,7.704696,11.537541,14.501271,12.230448,15.1858,7.588011,6.6977773,7.490693,9.981842,19.329647,15.9411
1964,15.3178835,7.353335,11.949661,14.608767,12.386606,15.423433,8.093509,6.7323723,6.854052,9.600378,19.345467,15.652883
1965,15.347667,7.450461,11.37766,14.430053,12.44484,15.296632,7.341064,6.4283705,7.1946054,9.979018,19.157848,15.748345
1966,14.60846,7.406587,11.408287,14.273055,12.128076,15.310307,7.871904,6.82239,7.019057,9.384465,18.492697,15.585251
1967,14.368089,7.2996984,11.539414,13.841292,12.6016035,15.688689,7.841325,6.627099,7.009016,9.267136,18.924387,16.101963
1968,14.766502,6.8938694,11.192607,14.166611,12.302635,15.1430435,7.570682,6.80094,6.607588,9.479215,18.640995,15.953713
1969,14.37972,7.058197,10.836604,13.7935705,11.966488,15.105008,7.261695,6.480876,6.928367,9.546462,18.856167,15.534028
1970,14.129231,7.5825224,11.445692,13.563537,12.238804,14.860761,7.802414,6.7049203,6.987262,9.7971115,18.2794,15.538013
1971,14.632052,7.6318293,11.540142,14.186139,12.52756,15.581566,7.821165,6.6657147,7.1772356,9.718218,18.502972,15.855954
1972,14.771079,7.2765718,11.004378,13.898457,11.842154,14.415357,7.575764,6.576967,6.8622193,9.884551,19.158924,15.671348
1973,15.144285,7.46255,11.691492,14.005843,12.278761,15.215677,7.594901,6.8090425,7.14376,9.968704,18.438803,15.618062
1974,14.993958,7.440365,11.6767645,14.174819,12.245234,14.901227,7.7867374,6.649005,7.0241947,9.806196,19.059055,15.829802
1975,14.715471,7.635701,11.693568,14.098028,12.39689,15.461357,7.8269687,6.7754807,6.9498096,9.959153,19.071808,15.822243
1976,15.614219,7.5925913,12.260284,14.467296,12.685383,15.177789,7.818797,6.7330856,7.179516,10.120777,18.932495,16.276905
1977,15.431064,7.217378,11.788094,14.464426,12.324251,14.90643,7.622783,6.967192,6.7744503,9.63954,18.673939,15.589675
1978,15.004784,7.6523814,11.63207,14.235122,11.900968,14.661867,7.455236,6.9219203,7.086695,10.010006,19.198925,15.645012
1979,15.299163,7.391842,11.171536,14.285742,11.821531,15.079926,7.195921,6.539116,7.035179,9.671524,18.949501,15.215172
1980,15.215322,7.7405005,11.713308,14.190091,12.300577,15.724886,7.665518,7.1335983,6.936181,10.090887,18.818611,16.238066
1981,14.927462,7.6487017,11.335137,13.823519,12.006277,14.561242,7.4769096,6.9472475,7.38071,10.200314,18.361649,15.703339
1982,15.188911,7.290471,11.456654,14.420745,12.6550255,15.613958,7.290237,6.695004,7.0767097,9.814279,19.428034,15.978093
1983,14.751248,7.0256934,11.233743,13.821834,12.183916,14.942259,7.2538266,6.8468146,6.860181,9.566789,18.187254,15.5535345
1984,14.527453,7.359353,12.085613,13.935623,12.593532,15.388699,7.8861737,7.0491223,6.836489,9.963585,18.552387,15.711866
1985,15.188722,7.837009,12.29426,14.153705,12.833233,15.5811615,7.974193,7.0140753,7.207187,10.2853,18.34265,16.467903
1986,15.051624,7.631419,11.827563,14.238487,12.521871,15.476798,7.5975976,7.0086513,7.005647,9.954074,19.40024,15.7310095
1987,14.6197195,7.8178825,11.966766,13.763964,12.311605,15.143345,7.7722635,6.93805,7.2726564,9.9304695,18.438063,15.949597
1988,15.238889,7.619131,12.259951,14.283662,12.67241,15.244037,7.9260283,6.941637,7.2238207,10.222662,18.459942,16.210678
1989,15.01906,7.013792,11.453159,13.859511,12.132517,15.023578,7.4175763,6.6370015,7.262785,10.029802,19.09049,16.188646
1990,15.182513,7.556367,12.156298,14.369098,12.899695,16.158392,7.7207127,6.969085,7.148612,10.395342,19.50363,16.868565
1991,14.9267645,7.849295,12.050274,13.979636,12.547539,15.288602,7.7397957,6.955706,7.3187633,10.2466345,18.854723,16.347996
1992,14.414585,7.7696905,11.488643,13.822593,12.081084,15.074504,7.4034986,6.7877913,7.058978,10.084658,19.114475,16.393353
1993,14.512207,7.2673144,11.743935,13.701144,12.439577,15.029578,7.134719,6.5733485,7.2819977,10.205674,18.670532,16.537426
1994,15.547557,7.5737524,11.678957,14.267732,12.260175,15.239159,7.5578613,6.8697157,7.1705956,10.0437765,19.212759,16.051159
1995,14.483718,7.2263265,10.934339,13.972604,11.889708,14.869839,7.213553,6.885516,6.963947,9.760571,18.286022,15.500243
1996,14.762274,7.237537,11.403565,13.932905,11.9719305,15.138532,7.685207,7.181256,6.9381638,9.963406,18.85771,15.907922
1997,15.112407,7.1048703,11.653334,14.049659,12.162913,15.311284,7.790913,7.000324,6.7454476,9.78471,18.84337,16.011816
1998,15.046594,7.4143586,10.970005,13.929137,11.79281,14.599915,7.0928288,6.843253,7.353057,10.203713,18.135515,15.741369
