time,AM,BC,BP,BSE,BSW,HP,MC,PM,TC,TP,TSE,TSW
1954-08-01,8.222202,4.141435,5.7961903,6.3400335,5.8644395,5.306409,6.311073,5.3907895,4.5597515,5.0736794,6.498973,4.5738177
1954-09-01,8.5433,5.167797,5.573644,7.3250976,6.299763,5.4830265,5.1248603,10.880543,4.8098707,4.4236903,6.0751452,4.762966
1954-10-01,8.333339,3.3155653,3.4180284,7.0061784,4.2392836,5.1572804,5.5154037,18.285555,2.712995,3.9647698,4.947226,3.1009483
1954-11-01,7.484551,3.284472,2.3664656,5.7789927,3.5340796,4.257614,5.900313,19.727074,2.1661265,2.7707567,4.828498,3.2356086
1954-12-01,8.663479,4.8405156,2.6040416,5.11084,2.5934868,2.3695924,5.775012,19.412622,2.6942406,2.5003111,3.4395077,2.4586403
1955-01-01,4.907304,2.4044986,2.4513464,3.9304721,2.6119492,2.6238837,3.788204,10.814586,1.8553001,2.15126,3.7219462,1.9949981
1955-02-01,9.223812,2.4135466,2.2786489,4.3999257,3.1709409,3.3193498,4.0302334,10.984481,1.9653018,1.6479388,4.0796175,2.5930662
1955-03-01,8.400938,2.76531,2.599376,6.110334,2.687829,3.4910278,4.0146923,9.790999,2.5201676,2.240454,4.1728516,3.0186245
1955-04-01,6.433923,2.4945107,5.32858,4.7582574,4.4410486,3.536921,4.109639,9.790148,2.3735769,3.8150773,3.3724656,3.8258853
1955-05-01,6.0332246,2.6031108,5.3417387,5.8681145,6.3449903,5.95802,4.7005982,8.350591,3.7157195,3.0721362,4.536963,3.9957454
1955-06-01,6.0671406,3.2327495,5.857203,5.2423944,6.6803994,6.956833,4.7451596,7.14272,5.281801,4.796079,5.344999,4.969773
1955-07-01,6.6514287,5.481805,7.103526,7.7595015,8.152301,8.651696,5.657437,6.0117297,5.6654787,6.764428,6.1692576,6.2340302
1955-08-01,7.8955197,4.298371,4.232629,7.4140124,6.4526753,7.504805,4.675731,9.294356,5.519753,4.8486586,5.945898,4.2659755
1955-09-01,8.854765,4.6296206,5.7592874,7.500113,6.454424,6.429311,4.9614034,11.733785,4.0032864,4.8549953,5.262154,5.016879
1955-10-01,4.6024365,3.5285294,4.0834465,7.070199,5.844378,5.5116606,5.9670057,17.400776,2.7463837,3.5596259,5.5192227,4.2948065
1955-11-01,5.9963574,3.8925242,3.2886512,5.5976014,4.100318,3.7757614,5.7330914,15.544059,2.8442075,2.4661083,4.3037558,3.5667527
1955-12-01,4.9067874,3.277792,4.03165,4.1366997,3.7169979,3.1675587,5.0222826,13.2417,2.717992,2.2873693,3.9629452,2.3013318
1956-01-01,8.643485,2.4993765,2.8164744,5.069462,3.1234744,2.8406603,3.9932742,10.312519,1.8667008,1.8245662,4.484407,2.6277058
1956-02-01,6.56902,2.6773353,2.9505358,4.4621944,2.5876508,2.3174057,3.439461,9.591976,2.3921053,1.8641987,4.2666254,1.4309291
1956-03-01,8.497495,2.6837928,2.8939688,5.2985964,2.7003572,2.5963314,4.1003566,11.985626,2.1318524,2.2192492,3.5619812,1.7000191
1956-04-01,6.3520784,3.4363747,2.4918466,5.619166,3.7274256,4.220618,3.488043,7.311046,2.4377122,3.348115,3.6939967,2.5879462
1956-05-01,6.7369194,3.315673,3.4896286,6.0859566,5.0829916,4.1341357,3.8147905,6.889224,4.4091163,4.1679173,3.7582266,3.8812137
1956-06-01,7.2556653,5.6841626,8.001973,7.0347695,6.665441,7.866379,5.536463,8.655297,5.46616,5.587399,4.7247996,6.0959773
