year,AM,BC,BP,BSE,BSW,HP,MC,PM,TC,TP,TSE,TSW
1984,7.534006,-1.6730611,2.7350721,4.0940337,1.8454016,0.1823384,2.2875903,3.861552,-7.6416802,-4.644444,-2.3886015,-5.405413
1985,6.716005,-1.8497907,2.0602055,3.355623,0.45971775,-1.0436509,2.1834764,3.8754733,-7.1383033,-4.185672,-2.182011,-6.4464917
1986,6.626164,-0.9583132,3.3962367,3.6055844,1.6355183,-0.95300853,3.6839352,5.122588,-7.169174,-4.2535,-3.1449249,-5.960069
1987,7.5330367,-0.17054789,5.120136,5.187229,3.911974,1.5928254,4.878878,5.769621,-5.9182644,-2.429691,-1.339768,-3.7338343
1988,7.097096,-1.1330128,3.3752837,4.0004935,1.4186791,-0.48775545,3.6474876,4.7726264,-6.5984416,-3.8100336,-2.3571095,-6.174672
1989,6.6640325,-0.81231004,2.4101,3.3988512,0.38779464,-1.6687553,3.6353667,5.237481,-6.227533,-3.672812,-3.182853,-6.548944
1990,7.667064,-2.0831182,2.40227,4.008715,1.1186632,-0.48931986,3.3593168,4.903465,-7.8182535,-5.032452,-3.501495,-7.0209036
1991,7.5052533,-0.855094,3.574182,4.1130056,1.9267719,0.12586924,3.701973,4.983202,-6.6953096,-3.852525,-3.009583,-5.701695
1992,6.45229,-1.8290212,3.2329438,2.8419046,1.1100866,-1.4510261,4.081836,5.445228,-7.5929627,-4.202662,-4.196263,-5.8832626
1993,6.6628084,0.022905147,3.5759766,3.2507513,1.3809514,-0.6216525,3.4892437,5.3647118,-5.0792975,-2.122547,-3.003858,-5.2947464
1994,7.0759363,-1.7861441,2.8972511,3.5875835,1.6930422,-0.24619755,3.7540555,5.065118,-6.998092,-3.4927197,-2.6414547,-4.9116964
1995,7.3505573,-1.1456196,2.587153,4.0126834,1.3231068,-0.38128358,3.248718,5.152358,-6.0622454,-3.2103124,-1.6477137,-5.4221644
1996,7.269917,-3.8208234,0.6348435,4.021449,0.34761903,-0.49752188,1.2275369,3.2507818,-8.477069,-4.786374,-1.6274357,-5.7414246
1997,6.6235037,-0.9446166,3.4309845,3.4561884,1.7407413,-0.32982534,3.6371675,5.3010125,-6.228541,-3.1986358,-2.4709704,-4.904521
1998,8.371527,-0.981025,4.5934954,5.715728,3.8923206,2.091131,4.513368,5.4348445,-5.4833364,-1.3983299,-0.4502888,-2.6605625
1999,8.9714365,-1.8011642,4.3436193,5.769154,3.4503903,2.212798,3.831116,4.701252,-7.4907475,-3.0242388,-0.3339595,-3.5845582
2000,7.266307,-1.948054,2.8718264,4.5278997,1.9174925,0.4887461,3.1703491,4.690166,-7.2624345,-3.5360928,-1.5427802,-4.8510246
2001,8.399375,-1.4915897,4.595741,5.767954,3.7592738,2.6574242,3.655445,4.5482273,-6.403543,-2.5862422,-0.22535764,-3.5010288
2002,7.1758366,-1.4453647,2.7163901,4.2596207,1.3012964,-0.41334963,3.4589064,5.108703,-6.0585093,-3.3425877,-2.8035207,-5.6445394
2003,7.0825496,-1.4514894,3.2918022,4.538136,2.33756,0.5895129,4.16811,5.330267,-6.7651815,-3.1174698,-1.2297466,-4.326495
2004,6.9110126,-0.76812035,2.8090706,4.061754,0.58933324,-1.3710926,4.7879457,6.199386,-6.8934875,-4.6668715,-2.0678265,-7.474746
2005,7.9511333,-0.49604303,4.4344635,5.523631,2.9203546,1.5898408,4.241408,5.598775,-5.487543,-2.2589679,-0.52579486,-4.3874774
2006,9.041485,-2.1444185,4.757943,6.293581,4.014517,2.666969,4.398203,5.018886,-6.307098,-1.8839154,0.66150427,-2.2350948
2007,7.509854,-1.8924996,3.2889254,4.678966,1.9716319,0.52687865,3.638984,4.5057554,-6.7323675,-3.619216,-1.7890738,-5.015538
2008,7.866124,-2.574036,2.857856,4.636286,1.2085352,0.22769749,3.110109,4.048872,-7.4667897,-3.7985127,-0.8648084,-5.4477167
2009,7.7320833,-1.8811479,2.7059677,4.5277443,1.5420922,0.2811703,3.2505054,4.61278,-6.8731613,-3.742105,-1.1790471,-5.2333903
2010,9.519197,-0.5333381,4.3182573,6.8698387,4.351987,3.4766355,4.233242,5.2645874,-5.253705,-1.623719,1.7842121,-1.8756266
2011,8.396766,-1.947845,3.8564708,5.340726,3.209469,1.6467679,2.9788487,3.8741887,-6.46398,-2.6469665,-0.9893961,-3.9237456
2012,9.278013,-2.5886655,3.8036442,6.184331,3.3355305,1.8070934,3.6528022,4.3268566,-7.138395,-2.5175064,-0.2152407,-3.752806
2013,8.042667,-1.1906984,2.994476,4.602549,1.2961806,-0.10323181,4.4880166,5.7197433,-6.4800854,-3.078497,-1.1157739,-5.024512
2014,7.8589187,-1.0468247,2.6513052,4.0734153,0.7565062,-0.1697093,4.1091413,5.6203847,-5.4659476,-2.8834546,-1.4050589,-5.1192846
2015,7.736434,-0.38001072,4.9008374,4.45576,2.930316,0.89770925,5.090787,6.2262354,-5.126527,-1.7733462,-2.3016443,-4.1196036
2016,8.121916,0.7732611,4.8129787,5.1982307,3.36057,1.3344607,5.554013,6.5917897,-4.0836053,-1.4596678,-1.709487,-3.6280098
2017,7.9000006,-0.67928976,3.9800003,4.821827,2.6422698,1.0260689,4.752118,5.7029676,-4.6552124,-1.1394559,-0.84159636,-3.6767538
2018,7.4531984,-0.35140607,2.8187466,4.3071113,1.4672273,-0.13613565,4.992741,6.7135034,-5.336441,-2.312445,-2.7556167,-5.177062
2019,6.872122,0.51911366,2.7400723,3.9102993,1.4849514,0.30676147,4.5157475,6.4953628,-4.390867,-2.1436353,-1.2533195,-4.745879
2020,8.390928,-1.4360833,2.9060917,5.2829127,2.061126,0.988416,4.7013683,5.987647,-6.75141,-3.5932255,-0.87529033,-5.423549
2021,8.913118,-1.3938686,3.992841,6.644861,3.3929884,2.3394449,4.9418216,5.700104,-6.3990316,-3.3135006,1.1527036,-4.4161406
2022,8.5333,-0.4677254,3.3744857,4.983276,1.5763495,0.90511817,4.838129,5.9302487,-5.8419347,-2.6267445,-0.59570605,-4.582341
2023,8.885566,0.9455124,6.155511,5.982682,4.2227974,2.5911856,6.40948,6.8882384,-3.7363436,0.2462724,0.93930805,-1.0422628
