year,AM,BC,BP,BSE,BSW,HP,MC,PM,TC,TP,TSE,TSW
1950,85.75514,78.60425,253.66943,61.808002,74.492096,79.26695,182.96103,26.105375,34.581814,158.19437,16.781178,93.73257
1951,42.21356,108.60321,124.77524,64.12381,55.56983,71.78357,238.45665,90.29885,51.373936,74.99251,27.091957,83.5091
1952,76.11558,44.811405,243.98837,53.338158,65.68653,39.088734,238.88249,55.54676,13.248473,104.17034,17.358177,71.56334
1953,83.63599,40.929024,255.29597,100.57738,87.0228,65.11715,127.43281,19.44283,11.440309,132.11336,15.360572,75.45849
1954,32.10422,51.415607,119.21692,46.86455,78.44473,91.6483,61.97519,7.0370607,18.99106,145.35388,45.78313,114.65645
1955,93.999725,59.115143,364.6436,153.4242,145.37418,112.97176,149.01485,17.401436,9.248717,176.14458,54.39473,200.6713
1956,35.246616,51.570045,195.79396,37.850796,113.44579,96.327934,214.55873,39.83037,6.718176,103.654976,10.25272,94.94132
1957,64.23468,66.392006,122.60882,69.77243,85.47391,93.212845,108.165436,17.658981,26.00299,79.348976,17.982052,72.85743
1958,43.708794,107.91502,385.0998,37.621212,76.66125,32.263832,352.37717,126.83771,16.114237,107.013115,21.345255,69.1537
1959,60.207397,29.220434,157.75696,69.5086,58.314106,39.541447,108.72162,17.685385,13.467096,71.40404,23.082716,39.01198
1960,103.496,24.550125,187.75206,71.63017,115.68344,80.981674,223.10568,47.811817,8.718513,67.53883,16.405914,66.44547
1961,54.219875,83.17429,474.8802,53.188274,199.26625,92.18105,306.4083,84.784775,14.212632,190.31796,44.420444,157.72102
1962,43.801105,23.855108,135.89537,97.19629,69.262985,105.5925,103.76983,22.402575,7.7295017,45.03884,42.01209,55.376404
1963,63.161846,59.864944,299.2644,101.06175,97.66679,99.2102,97.88072,20.212492,19.640017,106.2248,19.819126,57.380867
1964,55.22333,22.038187,251.20146,57.996773,104.5523,100.5728,52.985336,5.6490064,5.2357483,128.87117,48.8417,176.60284
1965,82.36244,90.65333,214.36638,66.95688,60.620205,51.41922,147.1104,58.18265,10.084536,149.418,5.1008334,91.08222
1966,82.67754,53.811726,259.42596,77.73749,101.27079,60.72431,98.23205,15.802283,49.698963,135.98776,13.028051,133.62285
1967,61.738194,37.429325,352.55148,102.5072,181.73395,120.7005,249.79054,36.406593,9.05998,117.89374,43.483685,121.07913
