year,AM,BC,BP,BSE,BSW,HP,MC,PM,TC,TP,TSE,TSW
1950,64.458595,65.50512,60.738125,64.39345,64.714226,64.789505,60.325584,72.93805,71.666824,66.40496,72.2522,70.07042
1951,67.0156,65.208244,63.63064,65.346054,65.97109,66.448494,60.640266,70.74635,70.910706,67.44154,72.55803,70.252625
1952,66.40938,69.04645,61.151985,66.15596,66.5511,67.53916,60.899624,73.91051,74.6626,68.09638,73.328835,72.03814
1953,65.2568,69.30879,61.066616,64.81409,65.80199,66.77126,63.397366,76.3818,73.65916,68.07498,73.108864,72.152664
1954,67.285545,66.79198,61.209755,65.39407,65.04869,65.51191,63.29602,74.82962,71.749435,66.45697,71.35918,69.799194
1955,65.943,65.814674,59.295322,63.562817,64.203255,64.90415,61.0372,74.154106,71.41273,65.25078,71.29998,69.443665
1956,65.79127,66.868546,60.818123,65.22571,64.86812,65.05335,60.279957,73.253105,72.27354,66.702126,72.64184,71.15596
1957,65.81632,67.76898,63.567642,65.31532,65.263695,65.296234,62.552326,73.195564,72.77872,68.86714,73.182884,71.513054
1958,66.53182,67.13241,60.489025,65.798035,65.73962,67.670715,61.081818,72.69084,72.575226,68.24193,74.01592,72.08313
1959,66.6006,69.63419,62.504887,65.30244,66.76053,67.057434,64.47618,75.75899,74.00373,67.93995,73.13896,72.3331
1960,64.9626,69.970215,62.217453,65.35375,64.64284,66.00848,62.116917,74.75334,74.12042,69.058,73.615616,71.91099
1961,67.3242,66.8601,59.519306,65.01685,63.84937,65.497284,60.34646,72.79665,71.59169,65.92811,71.66055,70.01238
1962,66.26052,68.608665,63.133747,63.45323,65.62392,64.831894,62.58094,74.08908,73.68007,68.75001,71.363205,71.19391
1963,65.31299,67.92918,60.135647,63.42272,64.40127,64.08422,62.48307,74.59623,72.18008,66.97951,72.495155,70.601654
1964,65.08126,67.88969,61.517895,64.495155,64.54796,64.371544,63.90749,75.645546,72.48172,66.720085,72.03663,69.400986
1965,63.991055,65.77252,60.940426,64.63101,64.498,65.145386,61.627254,71.738495,72.32289,65.94666,73.12832,69.01621
1966,65.02129,66.14488,60.743534,65.56224,63.93211,66.24942,63.10008,74.81843,69.83523,65.640366,74.367966,68.86501
1967,67.34044,70.842384,64.74067,66.69242,66.11051,66.53389,65.94984,76.74445,74.31552,69.47367,71.91542,71.203316
1968,64.4313,71.5796,65.51182,66.82512,67.38057,67.3676,67.713486,76.959366,74.23641,69.64285,72.626686,72.69901
1969,67.22683,69.65928,65.332985,68.06822,67.01266,68.18192,66.577644,76.792984,72.762825,68.68602,74.471405,70.901924
1970,65.38848,70.9598,64.64952,65.67622,66.197266,67.02006,65.075554,77.08944,74.27901,69.03391,71.49416,70.508194
1971,65.43038,68.960075,63.693348,65.32403,65.15051,67.10855,66.079346,77.363106,72.65543,66.91292,72.77699,69.06838
1972,65.2548,69.85022,64.2078,64.80479,63.79693,65.06474,66.7879,76.612724,74.27449,68.40889,70.16467,70.161964
1973,66.843185,70.22257,65.87414,66.90746,65.742096,67.100464,66.05071,77.15591,74.94824,68.26227,70.87749,68.384026
1974,65.342514,70.98828,65.29048,65.8306,65.68432,66.69752,66.87308,77.8462,74.171715,68.32037,70.238716,70.20111
1975,64.887405,69.44582,65.370186,64.60179,66.04595,66.773575,67.07019,77.39115,73.37006,67.49381,71.16389,69.79047
1976,64.96501,70.48816,62.649357,64.60344,62.895763,64.61661,69.07617,79.22865,73.56801,67.754745,70.49565,69.43078
1977,65.192375,71.045135,64.22659,66.05427,65.56303,65.96401,66.98239,76.47916,74.23564,69.02037,73.03414,71.12634
