year,R1,R2
1850,631.8425,140.84604
1851,840.4372,168.36552
1852,562.56824,132.18626
1853,651.7725,118.61675
1854,528.8029,87.02838
1855,640.6712,69.04397
1856,825.12054,99.4895
1857,600.67346,61.832916
1858,582.92194,153.67448
1859,966.19574,108.407234
1860,1003.39716,50.99632
1861,656.5222,160.64288
1862,862.44745,148.68405
1863,543.07465,151.24051
1864,493.5615,127.11665
1865,1156.8218,91.83111
1866,708.72144,83.919556
1867,909.043,86.70342
1868,567.5965,117.42884
1869,552.2458,80.09994
1870,538.8993,164.44641
1871,514.9716,113.874886
1872,488.13248,106.81162
1873,793.61255,149.29056
1874,647.85376,96.98508
1875,542.7036,95.24918
1876,593.65216,56.53159
1877,866.1273,92.76307
1878,736.04175,88.34558
1879,868.85944,86.54925
1880,775.0002,137.38783
1881,531.00726,101.40437
1882,575.0878,79.890144
1883,637.46674,147.23592
1884,525.67487,129.51178
1885,564.6474,95.946205
1886,381.23108,53.06151
1887,757.41113,88.099724
1888,685.6296,92.18964
1889,850.2962,87.01546
1890,533.39886,51.12717
1891,894.1275,151.14658
1892,586.6809,94.49242
1893,517.3532,124.57352
1894,270.0892,131.14961
1895,483.39618,108.01055
1896,426.49066,80.43449
1897,786.5027,92.570244
1898,671.4358,121.21721
1899,598.82025,138.9813
1900,497.55432,97.32969
1901,602.9073,100.296616
1902,705.1193,51.857697
1903,687.1666,78.403824
1904,750.8458,79.77268
1905,556.8466,111.253654
1906,508.85358,249.30716
1907,539.4198,94.58278
1908,623.9643,124.89642
1909,801.57513,105.90431
1910,843.52783,54.67538
1911,450.6172,163.42336
1912,422.33624,61.00144
1913,527.21967,63.007736
1914,839.00006,68.40335
1915,938.20667,109.17353
1916,545.37054,64.899155
1917,667.8913,86.21123
1918,545.2953,78.09022
1919,972.94366,105.25135
1920,688.4701,96.51508
1921,544.06683,120.76613
1922,458.0206,65.61131
1923,725.18146,160.2225
1924,496.3487,101.2409
1925,793.3667,144.59486
1926,498.2839,68.09311
1927,649.4046,67.706535
1928,509.313,139.99142
1929,1018.39404,127.55218
1930,491.4646,83.382645
1931,746.9053,88.67907
1932,667.4962,155.71774
1933,555.1069,133.88434
1934,484.27127,131.63524
1935,535.01984,59.571213
1936,592.1065,98.99552
1937,596.96436,52.41236
1938,494.06113,44.19028
1939,789.6884,112.30377
1940,704.6335,87.36607
1941,788.00165,76.06919
1942,979.0795,186.43083
1943,926.3156,86.16977
1944,763.7163,91.11723
1945,550.29645,87.43232
1946,603.4713,90.18052
1947,616.20776,79.61583
1948,699.6159,104.73244
1949,773.89233,101.22367
1950,553.32446,139.51581
1951,628.42975,99.97684
1952,802.2074,91.88731
1953,414.161,79.92201
1954,577.6673,114.35635
1955,647.7403,105.52045
1956,750.4041,94.27166
1957,393.01315,187.90485
1958,670.33746,98.61468
1959,596.6158,96.0549
1960,387.3532,129.92061
1961,673.986,132.14386
1962,643.5505,96.90841
1963,671.20374,98.5914
1964,613.5201,74.99614
1965,727.1669,68.227
1966,870.0699,126.63795
1967,524.29816,131.03288
1968,780.8662,133.92735
1969,762.48236,67.368355
1970,449.11414,102.42564
1971,927.69995,61.34288
1972,673.07556,80.522446
1973,520.8149,77.86707
1974,607.712,169.9624
1975,502.76105,139.84766
1976,688.3769,125.36055
1977,739.0939,87.774254
1978,858.26605,166.09148
1979,623.2596,55.9072
1980,598.799,71.25533
1981,636.0504,82.91539
1982,370.07172,168.78421
1983,589.7732,131.88187
1984,732.2604,94.385475
1985,552.60425,109.27405
1986,568.75574,85.35705
1987,1022.2867,88.08396
1988,1007.3897,146.9084
1989,574.05975,115.11994
1990,369.10498,146.86089
1991,757.16956,97.77077
1992,536.68463,98.638374
1993,712.7264,68.27142
1994,866.44836,236.54047
1995,660.5786,63.542034
1996,560.4139,90.36035
1997,550.26373,213.59927
1998,712.3354,114.96339
1999,776.8456,103.32773
2000,585.2107,78.65888
2001,457.7287,107.09007
2002,1129.6656,70.06353
2003,688.2533,71.48725
2004,695.9215,134.92233
2005,366.52505,136.17154
2006,660.4295,106.942535
2007,954.1046,118.306015
2008,535.89276,101.64882
2009,744.34894,103.56019
2010,605.01965,101.49164
2011,760.09955,63.904755
2012,853.12006,104.786896
2013,599.0799,121.16614
2014,570.604,63.447212
2015,325.32147,74.98008
2016,750.0228,95.40409
2017,537.60645,120.20959
2018,622.4782,175.19283
2019,684.2731,125.10645
2020,902.0295,148.04727
2021,666.44684,125.570625
2022,663.12573,98.145874
2023,810.6062,191.7838
2024,517.26605,120.8948
2025,832.9782,106.71891
2026,675.35583,197.47093
2027,612.84485,97.11501
2028,606.1838,84.508354
2029,703.104,208.10628
2030,772.53546,135.57448
2031,671.0915,135.46501
2032,463.07037,162.9416
2033,786.42206,111.740395
2034,554.1819,116.58915
2035,912.5705,144.68675
2036,783.4486,72.20216
2037,733.233,109.98805
2038,836.61017,113.85163
2039,807.07574,87.54235
2040,582.90674,109.219574
2041,779.8502,93.84494
2042,707.10376,88.60763
2043,532.0388,164.54333
2044,845.21234,149.16943
2045,917.051,119.58525
2046,536.7223,184.30351
2047,548.7493,128.64934
2048,690.1722,126.645805
2049,785.92145,131.9853
2050,728.56274,58.70047
