year,R1,R2
1850,42.59809,22.972183
1851,67.325424,9.020704
1852,16.86824,37.032745
1853,30.308762,45.825573
1854,95.205124,4.9550843
1855,121.12321,14.35305
1856,64.94135,7.9744015
1857,59.157936,17.236654
1858,73.17759,55.939537
1859,134.75102,15.195084
1860,70.984344,6.7312846
1861,112.33728,30.228415
1862,113.90313,7.3762674
1863,18.202454,12.174636
1864,156.7669,13.006633
1865,73.4803,52.242466
1866,115.13554,21.019056
1867,239.15494,19.628494
1868,71.37564,5.883451
1869,22.394335,5.405846
1870,17.835775,4.8685174
1871,22.114658,10.630491
1872,81.88066,7.225448
1873,50.90908,13.56958
1874,23.657228,28.15042
1875,162.43527,6.7432094
1876,88.9418,12.062575
1877,364.32336,10.867097
1878,56.627724,27.680664
1879,17.38529,17.569487
1880,66.7359,32.26257
1881,36.695705,13.207916
1882,13.421991,1.1686583
1883,68.200356,20.998766
1884,29.547201,60.442577
1885,92.39684,42.05988
1886,21.503784,16.706135
1887,103.0441,2.3598258
1888,7.73816,16.236044
1889,46.733353,5.419095
1890,160.15645,29.82274
1891,44.085518,15.235297
1892,75.071724,4.644991
1893,62.425053,33.008663
1894,71.10873,10.678211
1895,93.111626,38.409733
1896,14.207653,22.877275
1897,16.126778,45.099728
1898,65.94657,6.8757787
1899,39.592793,20.57764
1900,73.57317,16.76879
1901,51.030064,7.2527876
1902,43.72792,2.5194418
1903,35.87542,13.942271
1904,74.03054,26.037746
1905,13.80673,12.5861025
1906,32.27178,16.875504
1907,16.245604,21.365158
1908,17.42288,11.560793
1909,81.79852,5.5050573
1910,25.579845,40.305225
1911,99.90509,5.190367
1912,22.41401,29.976128
1913,14.316864,30.425547
1914,44.12296,6.4246364
1915,12.752322,19.161661
1916,74.91661,7.2685943
1917,15.060135,20.286287
1918,36.738815,9.876631
1919,25.95472,16.173439
1920,48.47928,12.624135
1921,29.330917,16.182362
1922,37.070267,3.2358763
1923,26.434694,43.639053
1924,227.0733,38.60404
1925,47.97123,5.2599583
1926,42.639076,8.614382
1927,46.65271,11.497467
1928,87.17452,16.168839
1929,86.4502,5.369071
1930,36.95336,18.1671
1931,58.28702,5.0726733
1932,44.25431,2.5470316
1933,6.2299204,7.2093964
1934,8.840295,6.8513193
1935,56.28568,29.666056
1936,35.425175,11.420424
1937,18.908413,12.042917
1938,92.14836,51.95727
1939,129.07951,10.387824
1940,33.70095,18.576525
1941,29.581163,3.0499046
1942,84.827255,11.7826
1943,41.36192,11.577766
1944,131.99275,13.4580965
1945,83.799736,31.185465
1946,25.736776,25.876892
1947,147.9117,14.269024
1948,82.342476,3.808543
1949,57.75035,13.89719
1950,33.010517,18.040949
1951,20.376247,6.2924294
