year,R1,R2
1850,58.99303,21.10174
1851,85.16931,9.223653
1852,64.45796,15.894277
1853,50.82854,14.864876
1854,34.101116,8.619306
1855,55.979626,28.804764
1856,75.11561,11.563271
1857,22.030172,16.860428
1858,41.38301,6.76505
1859,86.35256,6.0644574
1860,34.92407,13.849264
1861,68.959305,26.355482
1862,48.485123,23.8759
1863,61.22588,27.051435
1864,23.128672,10.948537
1865,96.90518,28.601185
1866,60.21328,6.9602404
1867,130.9096,22.651287
1868,91.85075,9.980628
1869,57.7746,22.117722
1870,125.11175,16.928368
1871,36.22101,11.822237
1872,44.49256,55.467766
1873,137.61722,12.785721
1874,42.76896,5.435357
1875,99.24453,13.750577
1876,46.606102,20.245533
1877,64.96488,35.95161
1878,43.591873,26.184473
1879,29.317684,10.405906
1880,64.844574,7.440348
1881,66.95098,14.979783
1882,29.634779,19.052122
1883,172.04958,16.49387
1884,172.71936,24.527866
1885,127.140305,13.259037
1886,94.92081,24.419544
1887,75.915474,38.0249
1888,71.02798,12.367827
1889,100.21822,15.813474
1890,88.1954,14.803903
1891,79.96701,18.900944
1892,99.566696,10.808693
1893,198.70499,13.395742
1894,54.435284,31.117353
1895,30.172752,14.500939
1896,39.445217,16.334585
1897,147.83044,5.923259
1898,59.567875,12.186886
1899,31.038887,13.561736
1900,115.22741,13.859224
1901,165.3081,31.261301
1902,63.39295,28.235434
1903,55.46371,19.883387
1904,42.62366,10.718906
1905,127.99746,11.587735
1906,69.827286,12.640576
1907,81.39869,5.001123
1908,111.887,17.591087
1909,160.93759,17.221693
1910,123.289986,12.533662
1911,92.03245,21.130863
1912,50.657993,10.70706
1913,53.192524,5.69191
1914,144.02675,12.262
1915,37.481083,9.028755
1916,29.36979,53.129982
1917,56.9414,8.408343
1918,54.012535,15.404128
1919,52.376274,10.53523
1920,57.974022,19.78529
1921,73.870834,25.524263
1922,81.79762,13.402103
1923,49.078888,14.381839
1924,67.06405,23.173267
1925,110.99829,14.882627
1926,60.93952,12.004524
1927,113.37844,9.983694
1928,70.93206,41.622482
1929,93.10609,49.42054
1930,92.8006,11.216384
1931,133.46617,23.114832
1932,46.46967,11.731677
1933,119.54747,12.293341
1934,77.31549,16.181154
1935,68.71186,11.801257
1936,88.31559,17.839264
1937,63.236977,10.709917
1938,64.609245,20.781862
1939,54.232018,44.52656
1940,73.60396,10.325673
1941,34.791553,11.625782
1942,99.51101,23.84201
1943,63.186413,19.674503
1944,76.46606,54.87068
1945,41.61256,21.82369
1946,97.837654,11.50942
1947,83.40927,23.081654
1948,69.82245,10.590477
1949,120.04947,15.398544
1950,72.52948,16.022587
1951,112.05058,8.774115
1952,101.339,14.10044
1953,121.441666,9.284278
1954,156.63031,14.32135
1955,79.497604,15.519099
1956,58.061874,45.670616
1957,119.88816,23.587093
1958,52.27128,36.152786
1959,76.99026,24.334272
1960,45.032883,18.398256
1961,48.617596,8.291508
1962,112.35762,13.148087
1963,68.173805,26.070473
1964,67.842896,38.412914
1965,35.67995,8.333484
1966,79.499535,14.490788
1967,96.24575,12.373909
1968,118.13969,12.131404
1969,59.29341,9.5003605
1970,125.58234,30.001299
1971,49.09107,32.97087
1972,410.13635,8.723753
1973,51.881355,8.630876
1974,111.21265,13.408461
1975,61.466515,18.819496
1976,85.20471,2.851067
1977,58.419655,22.210789
1978,50.797417,15.8511
1979,41.918293,19.291992
1980,44.51813,18.47679
1981,95.27887,20.38145
1982,118.14039,17.648634
1983,44.97999,22.214813
1984,85.55443,18.199541
1985,78.985405,21.632755
1986,59.16641,10.261458
1987,103.57424,15.4628105
1988,51.20607,33.424683
1989,69.15464,9.752198
1990,34.58233,7.7915196
1991,26.906431,5.904612
1992,30.178234,7.7442017
1993,70.89406,17.107891
1994,161.01624,38.73982
1995,104.87946,24.80825
1996,98.252365,20.67712
1997,37.1052,23.797169
1998,66.81854,13.529643
1999,197.02884,20.267946
2000,89.979355,19.562716
2001,88.1072,63.580868
2002,102.9409,49.783554
2003,73.67568,13.52808
2004,159.81964,26.12822
2005,252.35208,48.76397
2006,204.70854,35.63404
2007,88.60864,46.524933
2008,61.85674,31.423433
2009,206.75862,40.745945
2010,110.49896,33.612034
2011,105.32148,14.627821
2012,166.93785,26.061287
2013,106.997635,18.58923
2014,176.93315,92.43835
2015,187.90236,19.98119
2016,54.997513,20.877768
2017,118.695335,45.443077
2018,71.72676,36.569454
2019,139.19395,24.848934
2020,96.07077,61.1708
2021,151.36386,80.01063
2022,197.01894,32.50264
2023,80.290855,29.6061
2024,171.50272,60.20589
2025,69.45365,48.42723
2026,170.13995,42.293476
2027,124.68993,77.78588
2028,173.82445,42.595
2029,168.32336,67.404625
2030,134.4787,66.06955
2031,209.86774,40.407383
2032,124.42964,115.02826
2033,253.76157,83.21558
2034,131.02635,30.036655
2035,147.34645,44.7927
2036,325.4961,74.55184
2037,171.50711,43.65433
2038,265.68167,31.408089
2039,158.94884,83.22424
2040,143.5882,101.40383
2041,159.85619,123.267166
2042,65.285545,86.598785
2043,153.24757,61.20543
2044,218.45384,85.386856
2045,171.41153,32.168667
2046,120.7271,106.79533
2047,114.074425,72.280045
2048,165.60101,79.72836
2049,320.5798,84.57829
2050,164.80797,147.39937
2051,215.23318,64.28803
2052,236.90024,39.878284
2053,61.183548,57.70586
2054,67.45942,78.10434
2055,211.95026,89.196915
2056,319.37143,105.73632
2057,183.71431,57.252293
2058,292.62378,53.05794
2059,449.38815,139.51268
2060,309.14832,118.942314
2061,140.26477,141.27097
2062,205.3807,177.59637
2063,123.49746,121.8015
2064,497.24603,133.24648
2065,401.07236,98.25909
2066,400.72577,164.87769
2067,130.91144,48.303253
2068,148.22728,132.92334
2069,657.67755,124.284744
2070,530.6802,196.92264
2071,856.25085,163.71036
2072,378.17422,67.918465
2073,313.03015,315.57648
2074,348.36142,206.00015
2075,298.3314,240.69388
2076,234.92087,247.72935
2077,299.39752,226.08403
2078,169.40547,208.6028
2079,248.37656,297.25095
2080,679.2293,184.05951
2081,242.33382,304.30182
2082,398.70428,154.90234
2083,515.6,367.19556
2084,651.5393,249.13922
2085,233.34642,497.3603
2086,415.16022,142.09512
2087,335.8961,293.54837
2088,451.76965,335.41342
2089,324.11856,438.7257
2090,695.6837,472.4454
2091,530.3318,349.2448
2092,660.62823,356.1611
2093,509.39896,205.71709
2094,291.87125,385.55353
2095,722.4563,489.7062
2096,476.79214,627.07306
2097,971.95776,691.86566
2098,1138.8129,399.02066
2099,1472.9626,558.10614
2100,1250.8892,562.7698
