year,R1,R2
1850,159.94336,6.357484
1851,58.203804,14.9488535
1852,132.40628,16.791258
1853,108.47801,11.797168
1854,47.199387,8.778264
1855,55.558147,8.336868
1856,45.756332,5.6989913
1857,81.11191,12.322535
1858,45.1191,18.753965
1859,38.765217,9.452925
1860,108.55731,15.807156
1861,48.028297,5.2272334
1862,99.49886,15.703008
1863,23.98919,8.228718
1864,18.581163,17.614462
1865,49.968,16.14855
1866,26.68595,16.116028
1867,51.297882,6.4593835
1868,30.890081,8.628607
1869,10.302056,7.8350134
1870,119.088135,14.345269
1871,88.47991,6.789444
1872,18.43972,14.010144
1873,119.70801,3.4522197
1874,75.60517,6.070925
1875,52.261612,18.223677
1876,29.437252,8.865621
1877,60.52789,10.508288
1878,96.94101,8.381213
1879,77.12379,5.7002788
1880,85.18737,19.70819
1881,29.113258,7.6428404
1882,26.923763,11.869258
1883,55.85267,8.561333
1884,34.4543,8.741674
1885,73.136925,10.524536
1886,56.80762,4.885562
1887,54.592293,8.543369
1888,72.52092,8.182212
1889,33.520603,13.076854
1890,41.368416,19.028414
1891,36.478596,5.5803976
1892,28.687534,11.724259
1893,240.6985,15.612827
1894,87.42758,16.305655
1895,39.366356,12.534601
1896,20.404675,9.631486
1897,90.53515,8.240145
1898,115.54153,7.266163
1899,17.395973,7.429826
1900,52.44757,10.573615
1901,20.313334,7.514784
1902,24.537073,5.015137
1903,40.848774,18.402615
1904,23.851526,18.6644
1905,44.629772,15.147597
1906,11.617858,18.543713
1907,31.500156,7.0030007
1908,123.7928,17.857567
1909,65.448906,15.8436985
1910,75.613266,10.0624895
1911,47.328148,11.061145
1912,93.562096,15.8158455
1913,59.343773,7.7422028
1914,26.292545,18.617931
1915,77.78805,15.170212
1916,57.08124,12.808919
1917,74.25394,10.506302
1918,17.71376,10.047193
1919,46.30431,9.914547
1920,179.35284,9.241294
1921,104.88168,9.048445
1922,33.58343,8.460515
1923,96.52146,16.687397
1924,68.77345,13.155867
1925,144.028,7.566973
1926,63.413322,8.940844
1927,103.90306,8.08396
1928,43.88718,19.728617
1929,106.08043,6.653578
1930,34.043343,14.015769
1931,67.48656,12.565483
1932,126.20058,5.208363
1933,212.78949,9.350343
1934,27.768436,3.8330796
1935,68.36664,8.110416
1936,27.934324,5.3226266
1937,165.11897,10.914465
1938,71.311554,21.854944
1939,30.281754,7.5000544
1940,54.546333,9.918098
1941,48.443604,10.772291
1942,78.27117,15.262245
1943,28.813274,6.2901697
1944,12.638582,6.799211
1945,88.1795,10.121681
1946,47.12111,9.816382
1947,18.969095,13.171574
1948,107.457275,9.524252
1949,50.241524,10.369507
1950,95.78634,6.6597195
1951,36.828114,13.451263
1952,98.62261,6.5359545
1953,41.45915,7.794733
1954,88.377426,9.585086
1955,149.65927,7.491733
1956,32.094532,12.0220585
1957,40.383724,10.30681
1958,54.06029,5.316531
1959,71.480286,9.481582
1960,64.91311,6.9512224
1961,25.41716,8.910782
1962,163.0204,8.172142
1963,76.93768,18.320644
1964,45.227764,34.700546
1965,22.437248,10.956604
1966,50.244007,17.496305
1967,86.780075,7.875093
1968,36.35672,8.762187
1969,56.62647,8.089901
1970,11.163233,11.343252
1971,58.67442,10.409458
1972,120.22782,12.971494
1973,183.99356,3.8931172
1974,18.391426,25.782492
1975,23.714329,8.2622175
1976,125.95771,11.620411
1977,64.63144,8.965932
1978,62.90836,6.8011703
1979,84.24499,4.971452
1980,21.897377,20.71544
1981,23.176035,7.970977
1982,38.301704,9.219744
1983,83.82975,9.473391
1984,59.07574,6.961447
1985,30.982643,26.323313
