year,R1,R2
1850,64.213264,44.924435
1851,37.093216,18.368809
1852,73.52788,32.06004
1853,32.669487,31.368534
1854,98.54517,14.9731245
1855,247.46101,14.912429
1856,111.57744,18.304075
1857,115.19101,23.554306
1858,77.752884,32.189453
1859,57.154163,14.772995
1860,86.06595,12.832533
1861,70.90705,10.494579
1862,240.86755,20.373064
1863,206.87483,19.132486
1864,59.600746,13.655228
1865,104.255554,19.13794
1866,209.49352,16.623968
1867,114.391,17.917189
1868,86.23352,9.349394
1869,75.21871,14.455668
1870,84.90868,34.641197
1871,90.02198,20.829964
1872,71.68097,25.436737
1873,121.1831,9.3743515
1874,86.428566,27.741747
1875,61.711834,24.100277
1876,86.49423,20.528856
1877,72.02203,8.974299
1878,68.67561,30.637238
1879,72.391426,11.767826
1880,77.78807,9.489658
1881,86.76019,20.64899
1882,45.156258,15.115952
1883,145.53978,16.051641
1884,139.86626,8.659141
1885,111.27399,16.520369
1886,34.97215,23.852972
1887,139.68076,10.799567
1888,230.36514,19.097681
1889,149.74936,7.2657604
1890,71.78558,30.240162
1891,149.1375,19.14509
1892,114.277374,12.738564
1893,198.41153,9.718252
1894,137.40077,32.48896
1895,119.42097,11.412054
1896,51.382626,33.26985
1897,51.41159,29.46945
1898,55.084003,36.54447
1899,169.40372,18.404734
1900,180.00024,18.138084
1901,252.21028,11.616944
1902,105.98644,15.798734
1903,94.559395,14.997062
1904,38.41892,22.701384
1905,188.41484,9.994725
1906,53.722404,10.284924
1907,81.5482,16.410343
1908,122.553505,27.932972
1909,169.83025,42.148003
1910,27.047804,19.598848
1911,115.53718,18.511686
1912,43.40237,13.939779
1913,46.81902,21.671791
1914,71.3195,16.301329
1915,81.62572,14.003318
1916,80.01006,22.89856
1917,45.560677,37.102283
1918,233.9929,14.368445
1919,70.4814,15.872898
1920,80.511826,3.352309
1921,145.51794,25.518398
1922,86.267586,36.539963
1923,62.382996,42.942802
1924,96.48427,10.665187
1925,154.9393,20.358398
1926,114.62567,23.352915
1927,44.300148,32.33127
1928,68.17816,12.547357
1929,42.807663,10.484736
1930,104.52829,44.79845
1931,104.31473,26.219687
1932,64.83981,17.67117
1933,56.611015,22.548504
1934,39.26461,17.35319
1935,50.056908,19.026684
1936,93.26793,23.621994
1937,155.99301,10.840766
1938,131.39102,16.666803
1939,63.328495,12.296547
1940,163.98512,11.776736
1941,197.38533,25.130766
1942,66.83236,15.418394
1943,86.76562,23.559734
1944,223.38301,31.605028
1945,36.32291,7.5158696
1946,47.016815,16.080297
1947,38.095318,12.453149
1948,79.77473,25.681711
1949,40.23742,33.44666
1950,53.34475,11.11498
1951,163.10089,18.65862
1952,162.29787,22.243818
1953,100.494446,6.7291865
1954,116.89092,16.148708
1955,82.171585,10.336576
1956,111.345345,5.043202
1957,313.0487,11.984942
1958,157.53816,27.138905
1959,131.05676,6.420429
1960,159.29199,23.722326
1961,169.85277,33.902508
1962,80.91548,39.8869
1963,110.19343,19.26099
1964,78.95497,13.302688
1965,105.748535,18.658476
