year,R1,R2
1850,40.08161,28.64392
1851,73.09572,29.038458
1852,113.91376,22.824858
1853,93.77496,8.848315
1854,119.34403,22.048523
1855,167.10654,14.670925
1856,182.79643,13.276989
1857,306.33606,16.527113
1858,325.38376,8.859191
1859,322.92902,13.674762
1860,143.37099,22.043777
1861,468.71014,7.379711
1862,428.93433,25.216536
1863,250.80852,12.87962
1864,162.22055,52.398518
1865,360.07007,16.471
1866,141.77429,31.61652
1867,101.59589,24.557217
1868,101.86308,16.719809
1869,207.51546,23.757658
1870,124.38008,12.128811
1871,116.799835,24.607712
1872,227.74141,74.84633
1873,271.53354,43.00869
1874,150.89322,17.301105
1875,279.04913,39.729874
1876,146.37357,9.382567
1877,180.31142,48.52744
1878,101.14337,8.434651
1879,88.48482,13.323048
1880,131.98294,22.042791
1881,64.48218,45.555054
1882,217.62564,34.753334
1883,292.4195,32.68792
1884,121.4687,12.021528
1885,230.77887,25.233711
1886,202.01894,28.100517
1887,153.71906,25.718302
1888,221.91275,40.761414
1889,343.97937,31.476381
1890,121.11667,32.895565
1891,88.88025,42.61328
1892,205.66637,33.75973
1893,316.36514,28.661615
1894,238.15785,21.784775
1895,191.86963,33.83245
1896,280.95258,34.98245
1897,157.4809,23.340878
1898,166.73006,15.3915825
1899,127.14852,57.011864
1900,329.10544,17.290092
1901,181.7532,28.349491
1902,97.2278,37.509094
1903,264.0519,12.791574
1904,434.86765,16.848011
1905,320.83438,29.684319
1906,147.76408,43.494648
1907,101.99889,17.500082
1908,126.35294,39.339413
1909,139.34833,23.632122
1910,129.87782,5.2216697
1911,162.57457,7.271672
1912,280.64066,10.435535
1913,149.52655,36.997375
1914,111.58309,44.97714
1915,256.02457,8.352413
1916,123.914635,45.303238
1917,64.68558,30.516628
1918,82.4522,31.280134
1919,50.575504,11.616278
1920,171.34863,37.286774
1921,245.78903,28.260288
1922,472.84332,16.32608
1923,390.69394,20.42912
1924,390.30658,12.75002
1925,344.47293,31.015272
1926,412.94604,22.066187
1927,168.38222,31.251415
1928,242.14198,45.25599
1929,215.50493,31.237185
1930,134.86635,20.978216
1931,100.44941,18.500517
1932,200.46886,47.923973
1933,62.406822,30.57865
1934,557.7331,56.263916
1935,160.56169,41.037926
1936,443.946,37.687317
1937,217.59277,22.083218
1938,122.58676,50.651382
1939,254.10437,27.198776
1940,274.61707,13.569241
1941,136.2622,25.784185
1942,53.445595,9.444514
1943,171.91258,25.691116
1944,71.705605,29.59238
1945,60.62426,20.76602
1946,286.56778,21.580893
1947,123.80267,10.123539
1948,255.82411,27.407623
1949,193.27425,16.125385
1950,153.11522,8.137303
1951,84.76772,37.004913
1952,198.32513,30.378214
1953,144.31693,38.8278
1954,222.70198,60.365818
1955,111.51902,50.16759
1956,153.36784,36.385693
1957,162.17857,16.088764
1958,104.45138,40.370644
1959,78.84533,14.4884615
1960,91.37373,12.557109
1961,118.35926,72.59121
1962,431.35886,28.863619
1963,156.12172,43.267513
1964,142.99564,31.391289
1965,150.14046,17.246037
1966,275.0265,34.422638
1967,50.43719,62.10018
1968,217.18623,28.674242
1969,109.63006,19.506178
1970,100.01199,12.977794
1971,170.93752,46.056313
1972,250.95949,33.72916
1973,176.44624,48.661667
1974,140.82721,27.230818
1975,183.1331,25.019537
1976,161.68996,23.222765
1977,66.393234,21.624458
1978,313.75076,51.03598
1979,100.195435,51.096313
1980,230.74435,50.084003
1981,68.9727,37.618702
1982,67.215416,21.17767
1983,297.28156,21.140802
1984,56.500515,89.03682
1985,84.32013,25.274376
1986,193.79778,12.106835
1987,275.71643,75.7191
1988,76.82307,33.572174
1989,276.96555,31.906979
1990,232.74619,22.599276
1991,394.7882,42.798763
1992,110.642044,64.54029
1993,110.36152,28.559282
1994,284.86365,14.060772
1995,270.6669,57.56194
1996,330.14398,53.218204
1997,296.43964,27.924543
1998,160.08322,9.976626
1999,120.679565,28.66494
2000,154.69301,19.684807
2001,105.75313,10.370467
2002,179.49294,26.983545
2003,187.42392,11.475489
2004,151.27501,7.403121
2005,282.87402,7.407024
2006,449.7945,33.037796
2007,253.9313,18.473686
2008,93.69652,75.722946
2009,91.738815,26.620853
2010,86.76487,14.602982
2011,177.42542,141.55351
2012,98.67206,105.17299
2013,631.9772,38.35625
2014,106.38425,35.711727
2015,299.2345,34.36573
2016,209.40584,23.19143
2017,198.36273,16.64809
2018,127.2919,45.07232
2019,503.29922,30.021835
2020,538.7479,20.40216
2021,156.66824,60.510235
2022,228.47931,14.685556
