year,R1,R2
1850,78.0211,22.37654
1851,114.55429,17.87751
1852,30.048918,16.679077
1853,23.168255,7.908463
1854,61.939953,7.483124
1855,44.44955,19.531935
1856,41.41008,26.49733
1857,77.3986,15.848637
1858,72.43229,15.738929
1859,44.561604,24.531418
1860,74.8966,19.942305
1861,46.978153,8.947268
1862,76.80515,20.695566
1863,82.33992,10.850456
1864,30.233543,16.323751
1865,57.592907,9.434701
1866,189.46802,5.8967648
1867,125.02059,9.819375
1868,70.030685,12.625716
1869,63.015842,20.193626
1870,115.21348,7.4088073
1871,109.440216,10.107466
1872,107.53906,10.659955
1873,121.9903,7.479996
1874,80.44905,11.583253
1875,59.735695,27.173513
1876,95.65719,23.43432
1877,185.67482,6.642944
1878,41.36679,41.013096
1879,62.230484,26.023445
1880,43.27528,6.575113
1881,88.22529,5.063764
1882,40.891747,11.888168
1883,27.819786,15.13794
1884,78.55903,9.157911
1885,40.966904,6.393597
1886,99.663414,10.133748
1887,133.47787,16.0132
1888,111.003685,22.782457
1889,49.007362,7.1010923
1890,137.67108,7.359122
1891,45.552834,10.4151
1892,64.44259,6.1440854
1893,35.798267,15.853932
1894,49.022797,31.737534
1895,46.073933,9.484476
1896,46.22124,6.253359
1897,69.877686,14.294347
1898,67.75674,9.734178
1899,46.194332,24.501274
1900,48.687565,16.517683
1901,45.307003,23.42495
1902,72.38057,9.038899
1903,49.156,17.453272
1904,30.017097,21.63159
1905,43.49709,20.85004
1906,77.4064,16.5582
1907,62.53701,17.344357
1908,59.26244,24.876165
1909,51.441147,16.86727
1910,69.854515,13.265786
1911,66.35611,9.564586
1912,94.78371,8.686869
1913,41.782295,15.598424
1914,44.186058,23.23209
1915,40.414894,29.967762
1916,66.471176,9.483678
1917,82.287506,24.315655
1918,55.703075,6.7649407
1919,44.325783,11.206109
1920,94.74975,10.356592
1921,80.66696,17.163054
1922,150.88957,17.912487
1923,58.80693,17.058702
1924,81.42765,12.417441
1925,39.861233,17.249325
1926,38.32182,32.18439
1927,122.21921,20.919565
1928,107.304054,10.6478195
1929,57.891712,26.932116
1930,87.27133,25.14768
1931,47.944355,24.72523
1932,43.328964,11.694577
1933,113.681,24.768578
1934,115.30982,23.391962
1935,58.372414,12.80396
1936,56.603683,12.3281145
1937,74.75251,10.352139
1938,70.06609,5.93127
1939,84.22076,22.592287
1940,72.50919,13.496739
1941,66.52054,6.7020254
1942,38.32364,14.087891
1943,112.68525,42.642975
1944,62.46415,16.06539
1945,60.389843,15.04
1946,43.74741,16.761122
1947,61.575413,15.860482
1948,47.2513,14.904986
1949,79.50072,20.060734
1950,50.854313,6.6045966
1951,53.47594,5.3251796
1952,45.24595,16.414745
1953,33.95878,16.892498
1954,35.506016,9.657449
1955,95.41965,9.024985
1956,99.05127,8.467049
1957,35.91634,7.257222
1958,29.302671,6.5472674
1959,44.55323,13.7642765
1960,58.08351,5.203414
1961,71.437,17.931286
1962,51.591286,13.856163
