,R1,R2
1850,30.52380952380953,8.8
1851,20.09523809523809,8.0
1852,21.09523809523809,15.45
1853,20.619047619047617,20.15
1854,19.95238095238095,12.75
1855,13.285714285714285,4.6
1856,34.761904761904766,32.55
1857,18.714285714285715,35.1
1858,16.095238095238095,34.4
1859,8.666666666666666,32.2
1860,40.285714285714285,17.450000000000003
1861,17.476190476190474,2.75
1862,39.285714285714285,3.95
1863,21.666666666666664,8.0
1864,10.047619047619047,36.75
1865,10.0,11.95
1866,15.714285714285715,18.6
1867,10.76190476190476,15.1
1868,10.714285714285712,0.75
1869,9.142857142857142,17.3
1870,11.095238095238097,12.0
1871,38.90476190476191,7.25
1872,10.952380952380953,6.45
1873,10.19047619047619,5.25
1874,29.23809523809524,7.050000000000001
1875,8.238095238095237,7.95
1876,9.476190476190474,18.6
1877,21.42857142857143,7.15
1878,29.380952380952383,18.9
1879,14.476190476190476,16.049999999999997
1880,26.666666666666668,28.35
1881,7.476190476190476,24.3
1882,16.80952380952381,3.3000000000000003
1883,32.47619047619048,22.8
1884,13.714285714285714,10.4
1885,33.19047619047619,1.5
1886,7.523809523809524,0.0
1887,10.61904761904762,14.1
1888,16.61904761904762,12.15
1889,12.571428571428571,4.0
1890,11.714285714285715,19.8
1891,25.666666666666664,26.15
1892,4.095238095238095,20.85
1893,12.095238095238097,20.65
1894,8.238095238095237,20.7
1895,18.333333333333336,9.9
1896,16.333333333333336,15.7
1897,8.523809523809524,22.1
1898,12.38095238095238,21.8
1899,10.285714285714285,12.3
1900,8.333333333333332,12.6
1901,11.61904761904762,9.7
1902,19.761904761904763,13.1
1903,5.238095238095238,31.55
1904,15.857142857142858,5.05
1905,22.28571428571429,18.5
1906,20.23809523809524,15.3
1907,12.714285714285715,17.1
1908,13.38095238095238,22.85
1909,11.142857142857142,14.85
1910,39.095238095238095,7.949999999999999
1911,10.23809523809524,26.6
1912,20.52380952380953,17.9
1913,10.19047619047619,8.35
1914,16.904761904761905,17.15
1915,22.76190476190476,13.15
1916,20.952380952380956,18.45
1917,33.904761904761905,41.2
1918,18.52380952380953,25.9
1919,35.42857142857143,7.35
1920,49.95238095238096,22.700000000000003
1921,6.190476190476191,21.8
1922,35.0,2.9
1923,32.0,23.05
1924,25.04761904761905,4.4
1925,17.0,17.75
1926,10.666666666666666,8.45
1927,32.57142857142857,22.4
1928,9.61904761904762,27.0
1929,27.23809523809524,14.75
1930,22.476190476190474,7.3
1931,26.333333333333336,12.6
1932,35.285714285714285,6.8
1933,10.476190476190476,17.65
1934,11.38095238095238,22.9
1935,15.428571428571429,11.1
1936,14.571428571428571,17.2
1937,29.09523809523809,27.55
1938,21.952380952380956,29.95
1939,1.619047619047619,16.0
1940,12.571428571428571,30.950000000000003
1941,23.57142857142857,16.2
1942,8.904761904761903,30.700000000000003
1943,12.571428571428571,26.85
1944,0.7142857142857143,9.95
1945,18.80952380952381,1.25
1946,16.285714285714285,26.9
1947,19.33333333333333,28.7
1948,24.47619047619048,1.25
1949,7.476190476190476,24.65
1950,22.047619047619047,3.5
1951,23.61904761904762,44.5
1952,14.714285714285714,26.35
1953,15.428571428571429,4.35
1954,13.047619047619047,1.15
1955,29.80952380952381,7.3
1956,0.238095238095238,14.4
1957,10.047619047619047,41.45
1958,22.52380952380953,16.549999999999997
1959,11.19047619047619,17.25
1960,14.142857142857142,21.700000000000003
1961,10.333333333333334,13.75
1962,30.904761904761905,12.7
1963,27.571428571428573,24.450000000000003
1964,6.142857142857143,33.1
1965,9.857142857142858,5.25
1966,21.761904761904766,0.6
1967,35.142857142857146,11.6
1968,2.0476190476190474,24.5
1969,16.333333333333332,10.55
1970,19.23809523809524,20.55
1971,9.095238095238097,9.5
1972,34.333333333333336,9.45
1973,12.38095238095238,3.65
1974,11.761904761904765,20.35
1975,16.42857142857143,5.0
1976,27.904761904761905,14.3
1977,16.42857142857143,6.1000000000000005
1978,10.428571428571429,11.8
1979,30.428571428571427,28.05
1980,4.190476190476191,27.4
1981,20.904761904761905,9.9
1982,34.333333333333336,15.3
1983,15.095238095238097,0.0
1984,0.7142857142857143,14.8
1985,8.476190476190476,8.65
1986,18.85714285714286,14.3
1987,11.952380952380953,15.5
1988,15.904761904761903,4.1
1989,11.761904761904765,24.9
1990,19.42857142857143,12.75
1991,16.76190476190476,12.1
1992,15.904761904761909,23.2
1993,12.285714285714286,3.75
1994,8.476190476190476,6.15
1995,17.857142857142858,3.35
1996,8.523809523809524,6.15
1997,14.428571428571429,24.15
1998,26.09523809523809,21.15
1999,9.38095238095238,19.2
2000,14.904761904761903,3.0
2001,12.714285714285715,16.85
2002,3.333333333333333,13.15
2003,8.238095238095237,3.95
2004,14.333333333333332,9.15
2005,48.1904761904762,10.7
2006,22.80952380952381,5.300000000000001
2007,12.571428571428571,3.85
2008,0.2857142857142857,20.5
2009,14.047619047619047,18.7
2010,2.761904761904762,9.3
2011,17.857142857142858,12.0
2012,19.952380952380956,4.25
2013,4.142857142857143,19.1
2014,3.619047619047619,16.5
2015,11.476190476190474,35.45
2016,28.0,4.05
2017,5.190476190476191,14.0
2018,18.142857142857142,1.65
2019,9.476190476190476,13.95
2020,15.19047619047619,0.0
2021,25.38095238095238,21.65
2022,26.285714285714285,2.8000000000000003
2023,38.52380952380952,14.8
2024,17.857142857142858,19.8
2025,29.476190476190474,12.4
2026,13.142857142857142,13.15
2027,16.047619047619047,8.05
2028,19.47619047619048,3.0
2029,23.571428571428573,11.55
2030,7.523809523809524,18.25
2031,33.904761904761905,1.95
2032,19.333333333333336,12.6
