year,R1,R2
1850,16.574392,12.287472
1851,39.7788,1.6108876
1852,10.720193,2.1563148
1853,16.031424,2.749949
1854,21.638477,2.1196625
1855,10.879935,1.0525689
1856,30.60778,4.326322
1857,14.327799,3.5132015
1858,15.075862,4.2150793
1859,12.402096,4.6353426
1860,16.094694,1.7172155
1861,10.932043,3.1062763
1862,5.544026,1.6998839
1863,16.592758,1.8179531
1864,12.933194,2.5297613
1865,15.033321,2.6143103
1866,10.064785,4.9760165
1867,11.12187,3.2151103
1868,23.183239,1.3175364
1869,27.968847,2.7263997
1870,30.795092,3.1360264
1871,35.69044,2.5749934
1872,56.612934,2.5806541
1873,43.54632,2.394058
1874,45.550655,2.6729128
1875,57.424446,2.4816606
1876,24.473677,1.5176662
1877,20.95882,2.924528
1878,12.846096,8.408802
1879,13.748131,2.585998
1880,25.74134,4.332839
1881,77.452576,1.8157734
1882,11.339683,5.9724903
1883,22.524046,3.8895302
1884,24.722063,7.1990047
1885,31.057753,3.2544258
1886,39.18781,4.3502197
1887,20.464308,1.0091114
1888,70.29691,10.112222
1889,12.224977,5.386941
1890,9.560697,3.1165526
1891,10.44219,4.5795994
1892,15.355022,5.224433
1893,9.859655,3.0390203
1894,14.370931,3.3817894
1895,33.55671,1.6434112
1896,15.158185,3.270491
1897,14.435064,7.567227
1898,41.49488,8.703033
1899,54.870026,4.255156
1900,9.180063,3.0899208
1901,22.03175,3.2024286
1902,13.605703,4.4739184
1903,40.42236,1.9502176
1904,30.123844,1.3988438
1905,77.421875,2.486245
1906,105.74901,3.6243908
1907,45.34519,6.59305
1908,61.15279,7.2870636
1909,31.94852,7.108873
1910,6.2718163,6.7066674
1911,8.592611,4.559156
1912,8.230444,10.16728
1913,26.960533,1.4056102
1914,90.27041,3.1247997
1915,23.070257,4.6467214
1916,33.68059,3.42445
1917,15.911636,1.2111939
1918,19.687933,5.485762
1919,22.350492,0.9634883
1920,24.046177,3.923004
1921,64.64915,3.4288669
1922,25.408329,3.533732
1923,15.101133,3.341477
1924,21.07958,3.9720967
1925,24.206465,2.3530936
1926,47.895336,2.5649629
1927,38.66446,3.773216
1928,71.72003,6.0358014
1929,64.45491,2.5051417
1930,15.360766,1.6034609
1931,24.591955,2.248369
1932,30.694462,3.3329713
1933,54.41099,9.446039
1934,205.28821,2.233878
1935,85.285645,6.1756587
1936,59.42108,6.3222666
1937,18.197775,4.8330216
1938,14.52525,4.2803845
1939,27.877178,3.1739314
1940,26.166994,4.014127
1941,23.391571,2.484771
1942,32.611637,2.2787676
1943,78.22199,2.520151
1944,26.780577,1.3900528
1945,54.247276,3.4184103
1946,18.698648,2.1248302
1947,50.556396,1.2110181
1948,36.242943,3.4989805
1949,26.996315,5.6017456
1950,50.95355,2.6860456
1951,15.351799,3.8224394
1952,21.895788,2.1107883
1953,79.38024,1.3049486
1954,92.24932,1.528355
1955,27.573238,1.9529375
1956,23.671513,5.47475
1957,38.641853,5.254962
1958,45.078316,1.0046116
1959,19.43636,2.9261496
1960,10.449819,2.2344422
1961,16.437368,3.4969053
1962,19.652851,1.2484683
1963,14.7563505,1.2296847
1964,15.149298,5.3258486
1965,22.738708,2.3674455
1966,16.85359,2.1743314
1967,22.874315,4.8566847
1968,9.291752,3.131139
1969,65.91127,1.4041798
1970,32.810402,5.2300873
1971,91.68606,2.3773658
1972,75.06752,3.5019882
1973,68.263565,5.0042777
1974,71.251205,3.450746
1975,68.85107,4.126794
1976,32.132988,3.345739
1977,35.223934,6.679544
1978,48.886364,1.9112476
1979,20.211245,4.1101418
1980,41.69552,2.0809112
1981,38.062023,2.3052814
1982,23.43608,1.9827486
1983,9.288647,2.712645
1984,26.84811,3.3789673
1985,36.066013,2.6121516
1986,15.584522,4.8594294
1987,16.23592,2.5274768
1988,28.47317,5.3830447
1989,34.776974,2.6294496
1990,25.575628,2.8745537
1991,31.995293,2.7035847
1992,29.388933,10.749869
1993,47.399273,3.8311918
1994,46.266293,5.5263534
1995,27.57978,2.9887366
1996,12.516415,6.3843207
1997,51.450584,2.830398
1998,29.475786,6.191225
1999,42.559605,3.7909982
2000,19.80223,2.637268
2001,86.33818,1.9470086
2002,52.953323,11.97854
2003,64.833145,3.2249742
2004,172.49387,7.6846247
2005,26.217125,13.591489
2006,62.61416,3.2709453
2007,28.033249,6.1972284
2008,36.895218,4.106442
2009,95.26906,3.9103842
2010,75.758705,3.7771003
2011,38.20241,3.5128698
2012,69.459305,2.0751712
2013,88.10585,4.9124265
2014,45.016754,3.9892855
2015,57.944984,8.220377
2016,46.22532,7.583158
2017,13.537836,9.932046
2018,21.20186,6.3970175
2019,28.641329,3.788573
2020,30.162321,8.569413
2021,38.547523,2.4655147
2022,38.63664,8.820266
2023,72.502914,3.6654084
2024,31.876257,6.014832
2025,18.850063,6.567143
2026,28.947416,3.714529
2027,32.245983,6.3559084
2028,17.8335,6.5885363
2029,8.64083,10.391624
2030,47.77345,4.6749115
2031,34.60675,3.9304533
2032,45.909832,4.636903
2033,80.23515,7.88754
2034,24.236267,13.245994
2035,34.092052,6.941988
2036,58.180805,4.3505487
2037,84.88623,6.2309904
2038,119.16936,13.114003
2039,26.548286,12.706076
2040,23.50537,5.129644
2041,45.421535,12.095476
2042,32.096916,12.985
2043,128.99771,12.836946
2044,33.56791,13.34296
2045,24.740463,5.7816124
2046,39.426327,5.8188586
2047,44.044132,5.5167894
2048,29.257837,9.667447
2049,61.95788,8.49852
2050,43.232296,8.769834
